team,commons_page_title,image_url,mime_type,score,source,local_file
Abilene Christian University,,,,0,existing_file,logos/Abilene_Christian_University.svg
Alabama A&M University,,,,0,existing_file,logos/Alabama_A_M_University.svg
Alabama State University,,,,0,existing_file,logos/Alabama_State_University.png
Alcorn State University,,,,0,existing_file,logos/Alcorn_State_University.svg
American University,,,,0,existing_file,logos/American_University.svg
Appalachian State University,,,,0,existing_file,logos/Appalachian_State_University.svg
Arizona State University,,,,0,existing_file,logos/Arizona_State_University.svg
Arkansas State University,,,,0,existing_file,logos/Arkansas_State_University.svg
Auburn University,,,,0,existing_file,logos/Auburn_University.svg
Austin Peay State University (Austin Peay),,,,0,not_found,
Ball State University,Team site og:image,https://ballstatesports.com/images/logos/site/site.png,,0,team_site,logos/Ball_State_University.png
Baylor University,,,,0,existing_file,logos/Baylor_University.svg
Bellarmine University,,,,0,existing_file,logos/Bellarmine_University.png
Belmont University,Team site og:image,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/belmontbruins.com/images/responsive_2022/logo_full.svg,,0,team_site,logos/Belmont_University.svg
Bethune–Cookman University,,,,0,existing_file,logos/Bethune_Cookman_University.svg
Binghamton University,,,,0,existing_file,logos/Binghamton_University.svg
Boise State University,,,,0,existing_file,logos/Boise_State_University.svg
Boston College,Team site og:image,https://bceagles.com/images/logos/site/site.png,,0,team_site,logos/Boston_College.png
Bowling Green State University (Bowling Green),,,,0,not_found,
Bradley University,,,,0,existing_file,logos/Bradley_University.svg
Brigham Young University (BYU),,,,0,not_found,
Brown University,,,,0,existing_file,logos/Brown_University.svg
Bryant University,Team site og:image,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/bryantu.sidearmsports.com/images/responsive_2024/nav_logo.svg,,0,team_site,logos/Bryant_University.svg
Bucknell University,,,,0,existing_file,logos/Bucknell_University.svg
Butler University,,,,0,existing_file,logos/Butler_University.svg
California Baptist University (alternately CBU),,,,0,not_found,
California Polytechnic State University (Cal Poly),,,,0,not_found,
"California State University, Bakersfield (Bakersfield, CSU Bakersfield, or Cal State Bakersfield)",,,,0,not_found,
"California State University, Fresno (Fresno State)",,,,0,existing_file,logos/California_State_University_Fresno_Fresno_State_.svg
"California State University, Fullerton (Cal State Fullerton)",,,,0,existing_file,logos/California_State_University_Fullerton_Cal_State_Fullerton_.svg
"California State University, Long Beach (Long Beach State)",,,,0,existing_file,logos/California_State_University_Long_Beach_Long_Beach_State_.svg
"California State University, Northridge (Cal State Northridge or CSUN)",,,,0,not_found,
"California State University, Sacramento (Sacramento State)",,,,0,not_found,
Campbell University,Team site og:image,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/campbell.sidearmsports.com/images/responsive_2024/logo_main.svg,,0,team_site,logos/Campbell_University.svg
Canisius University,,,,0,existing_file,logos/Canisius_University.svg
Central Connecticut State University (Central Connecticut),,,,0,not_found,
Central Michigan University,,,,0,existing_file,logos/Central_Michigan_University.svg
Charleston Southern University,File:Big South Conference logo in Charleston Southern colors.svg,https://upload.wikimedia.org/wikipedia/commons/3/3a/Big_South_Conference_logo_in_Charleston_Southern_colors.svg,image/svg+xml,8,direct,logos/Charleston_Southern_University.svg
Chicago State University,Team site og:image,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/columbusstate.sidearmsports.com/images/responsive_2023/nav_logo.svg,,0,team_site,logos/Chicago_State_University.svg
Clemson University,Team site og:image,https://clemsontigers.com/amt-media/219395,,0,team_site,logos/Clemson_University.png
Cleveland State University,Team site og:image,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/clevelandst.sidearmsports.com/images/responsive_2024/logo_main.png,,0,team_site,logos/Cleveland_State_University.png
Coastal Carolina University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fgoccusports.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Coastal_Carolina_University.png&type=jpeg
Colgate University,,,,0,existing_file,logos/Colgate_University.svg
College of Charleston (Charleston),,,,0,not_found,
College of William & Mary,,,,0,existing_file,logos/College_of_William_Mary.png
College of the Holy Cross,,,,0,existing_file,logos/College_of_the_Holy_Cross.svg
Colorado State University,,,,0,existing_file,logos/Colorado_State_University.svg
Columbia University,Team site og:image,https://gocolumbialions.com/images/logos/site/site.png,,0,team_site,logos/Columbia_University.png
Coppin State University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fcoppinstate.sidearmsports.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Coppin_State_University.png&type=jpeg
Cornell University,,,,0,existing_file,logos/Cornell_University.svg
Creighton University,Team site og:image,https://gocreighton.com/images/logos/site/site.png,,0,team_site,logos/Creighton_University.png
Dartmouth College,Team site og:image,https://dartmouthsports.com/images/logos/site/site.png,,0,team_site,logos/Dartmouth_College.png
Davidson College,Team site og:image,https://davidsonwildcats.com/images/logos/site/site.png,,0,team_site,logos/Davidson_College.png
DePaul University,Team site og:image,https://depaulbluedemons.com/images/logos/site/site.png,,0,team_site,logos/DePaul_University.png
Delaware State University,Team site og:image,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/dsuhornets.com/images/responsive_2023/main_nav_logo.svg,,0,team_site,logos/Delaware_State_University.svg
Drake University,,,,0,existing_file,logos/Drake_University.svg
Duke University,,,,0,existing_file,logos/Duke_University.svg
Duquesne University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fgoduquesne.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Duquesne_University.png&type=jpeg
East Carolina University,,,,0,existing_file,logos/East_Carolina_University.png
East Tennessee State University,,,,0,existing_file,logos/East_Tennessee_State_University.svg
East Texas A&M University,,,,0,existing_file,logos/East_Texas_A_M_University.png
Eastern Illinois University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2feiupanthers.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Eastern_Illinois_University.png&type=jpeg
Eastern Kentucky University,,,,0,existing_file,logos/Eastern_Kentucky_University.svg
Eastern Michigan University,,,,0,existing_file,logos/Eastern_Michigan_University.svg
Eastern Washington University,Team site og:image,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/ewu.sidearmsports.com/images/responsive_2023/main_logo.svg,,0,team_site,logos/Eastern_Washington_University.svg
Elon University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2felon.sidearmsports.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Elon_University.png&type=jpeg
Fairfield University,,,,0,existing_file,logos/Fairfield_University.svg
Fairleigh Dickinson University,,,,0,existing_file,logos/Fairleigh_Dickinson_University.svg
Florida A&M University,,,,0,existing_file,logos/Florida_A_M_University.svg
Florida Atlantic University,,,,0,existing_file,logos/Florida_Atlantic_University.svg
Florida Gulf Coast University,,,,0,existing_file,logos/Florida_Gulf_Coast_University.png
Florida International University (FIU),,,,0,existing_file,logos/Florida_International_University_FIU_.svg
Florida State University,,,,0,existing_file,logos/Florida_State_University.svg
Fordham University,Team site og:image,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/fordham.sidearmsports.com/images/responsive_2022/on-light-theme.svg,,0,team_site,logos/Fordham_University.svg
Furman University,,,,0,existing_file,logos/Furman_University.svg
Gardner-Webb University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fgwu.sidearmsports.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Gardner-Webb_University.png&type=jpeg
George Mason University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fgeorgemason.sidearmsports.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/George_Mason_University.png&type=jpeg
George Washington University,,,,0,existing_file,logos/George_Washington_University.svg
Georgetown University,,,,0,existing_file,logos/Georgetown_University.svg
Georgia Institute of Technology (Georgia Tech),File:Technique Logo.png,https://upload.wikimedia.org/wikipedia/commons/9/9d/Technique_Logo.png,image/png,5,direct,logos/Georgia_Institute_of_Technology_Georgia_Tech_.png
Georgia Southern University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fgeorgiasouthern.sidearmsports.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Georgia_Southern_University.png&type=jpeg
Georgia State University,File:Georgia State University-logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/00/Georgia_State_University-logo.svg,image/svg+xml,8,direct,logos/Georgia_State_University.svg
Gonzaga University,Team site og:image,https://images.sidearmdev.com/convert?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fgozags.com%2fimages%2flogos%2fsite%2fsite.png&type=jpeg,,0,team_site,logos/Gonzaga_University.png&type=jpeg
Grambling State University,,,,0,existing_file,logos/Grambling_State_University.svg
Grand Canyon University,,,,0,existing_file,logos/Grand_Canyon_University.svg
Hampton University,,,,0,existing_file,logos/Hampton_University.svg
Harvard University,,,,0,existing_file,logos/Harvard_University.svg
High Point University,,,,0,existing_file,logos/High_Point_University.svg
Hofstra University,,,,0,existing_file,logos/Hofstra_University.svg
Houston Christian University,,,,0,existing_file,logos/Houston_Christian_University.svg
Howard University,,,,0,existing_file,logos/Howard_University.svg
Idaho State University,,,,0,existing_file,logos/Idaho_State_University.svg
Illinois State University,,,,0,existing_file,logos/Illinois_State_University.svg
Indiana State University,,,,0,existing_file,logos/Indiana_State_University.svg
Indiana University Bloomington (Indiana),,,,0,not_found,
Indiana University Indianapolis (IU Indy)[h],,,,0,not_found,
Iona University,,,,0,existing_file,logos/Iona_University.png
Iowa State University,,,,0,existing_file,logos/Iowa_State_University.svg
Jackson State University,,,,0,existing_file,logos/Jackson_State_University.svg
Jacksonville State University,,,,0,existing_file,logos/Jacksonville_State_University.svg
Jacksonville University,,,,0,existing_file,logos/Jacksonville_University.svg
James Madison University,,,,0,existing_file,logos/James_Madison_University.svg
Kansas State University,,,,0,existing_file,logos/Kansas_State_University.svg
Kennesaw State University,,,,0,existing_file,logos/Kennesaw_State_University.svg
Kent State University,,,,0,existing_file,logos/Kent_State_University.svg
Lafayette College,,,,0,existing_file,logos/Lafayette_College.svg
Lamar University,,,,0,existing_file,logos/Lamar_University.svg
Le Moyne College[l],,,,0,not_found,
Lehigh University,,,,0,existing_file,logos/Lehigh_University.svg
Liberty University,,,,0,existing_file,logos/Liberty_University.svg
Lindenwood University,,,,0,existing_file,logos/Lindenwood_University.svg
Lipscomb University,,,,0,existing_file,logos/Lipscomb_University.svg
Long Island University (LIU),,,,0,existing_file,logos/Long_Island_University_LIU_.jpg
Louisiana State University (LSU),,,,0,existing_file,logos/Louisiana_State_University_LSU_.svg
Louisiana Tech University,,,,0,existing_file,logos/Louisiana_Tech_University.svg
Loyola Marymount University,,,,0,existing_file,logos/Loyola_Marymount_University.svg
Loyola University Chicago (Loyola Chicago),,,,0,not_found,
Loyola University Maryland (Loyola Maryland),,,,0,not_found,
Manhattan University,,,,0,existing_file,logos/Manhattan_University.jpg
Marist University,,,,0,existing_file,logos/Marist_University.png&type=jpeg
Marquette University,,,,0,existing_file,logos/Marquette_University.svg
Marshall University,,,,0,existing_file,logos/Marshall_University.svg
McNeese State University (McNeese),,,,0,existing_file,logos/McNeese_State_University_McNeese_.svg
Mercer University,,,,0,existing_file,logos/Mercer_University.png
Mercyhurst University[c],,,,0,not_found,
Merrimack College,,,,0,existing_file,logos/Merrimack_College.svg
Miami University (Miami (Ohio)),,,,0,not_found,
Michigan State University,,,,0,existing_file,logos/Michigan_State_University.svg
Middle Tennessee State University (Middle Tennessee),,,,0,existing_file,logos/Middle_Tennessee_State_University_Middle_Tennessee_.png
Mississippi State University,,,,0,existing_file,logos/Mississippi_State_University.svg
Mississippi Valley State University,,,,0,existing_file,logos/Mississippi_Valley_State_University.png
Missouri State University,,,,0,existing_file,logos/Missouri_State_University.svg
Montana State University,,,,0,existing_file,logos/Montana_State_University.svg
Morehead State University,,,,0,existing_file,logos/Morehead_State_University.svg
Morgan State University,,,,0,existing_file,logos/Morgan_State_University.png
Murray State University,,,,0,existing_file,logos/Murray_State_University.svg
New Jersey Institute of Technology (NJIT),,,,0,not_found,
New Mexico State University,,,,0,existing_file,logos/New_Mexico_State_University.svg
Niagara University,,,,0,existing_file,logos/Niagara_University.svg
Nicholls State University (Nicholls),,,,0,existing_file,logos/Nicholls_State_University_Nicholls_.png
Norfolk State University,,,,0,existing_file,logos/Norfolk_State_University.jpg
North Carolina A&T State University (North Carolina A&T),,,,0,not_found,
North Carolina Central University,,,,0,existing_file,logos/North_Carolina_Central_University.svg
North Carolina State University (NC State),,,,0,not_found,
North Dakota State University,,,,0,existing_file,logos/North_Dakota_State_University.svg
Northeastern University,,,,0,existing_file,logos/Northeastern_University.svg
Northern Arizona University,,,,0,existing_file,logos/Northern_Arizona_University.svg
Northern Illinois University (NIU or Northern Illinois)[i],,,,0,not_found,
Northern Kentucky University,,,,0,existing_file,logos/Northern_Kentucky_University.svg
Northwestern State University,,,,0,existing_file,logos/Northwestern_State_University.svg
Northwestern University,,,,0,existing_file,logos/Northwestern_University.svg
Oakland University,,,,0,existing_file,logos/Oakland_University.svg
Ohio University,,,,0,existing_file,logos/Ohio_University.svg
Old Dominion University,,,,0,existing_file,logos/Old_Dominion_University.svg
Oral Roberts University,,,,0,existing_file,logos/Oral_Roberts_University.png
