school,conference,url,stats
University at Albany,America East Conference,https://ualbanysports.com/sports/womens-volleyball/roster/,
Binghamton University,America East Conference,https://binghamtonbearcats.com/sports/womens-volleyball/roster,
Bryant University,America East Conference,https://bryantbulldogs.com/sports/womens-volleyball/roster,
University of New Hampshire,America East Conference,https://unhwildcats.com/sports/womens-volleyball/roster,
New Jersey Institute of Technology,America East Conference,https://njithighlanders.com/sports/womens-volleyball/roster,
"University of Maryland, Baltimore County",America East Conference,https://umbcretrievers.com/sports/womens-volleyball/roster,
University of North Carolina at Charlotte,American Conference,https://charlotte49ers.com/sports/womens-volleyball/roster,
East Carolina University,American Conference,https://ecupirates.com/sports/womens-volleyball/roster,
Florida Atlantic University,American Conference,https://fausports.com/sports/womens-volleyball/roster,
University of Memphis,American Conference,https://gotigersgo.com/sports/womens-volleyball/roster,
University of North Texas,American Conference,https://meangreensports.com/sports/womens-volleyball/roster,
Rice University,American Conference,https://riceowls.com/sports/womens-volleyball/roster,
University of South Florida,American Conference,https://gousfbulls.com/sports/womens-volleyball/roster,
Temple University,American Conference,https://owlsports.com/sports/womens-volleyball/roster,
Tulane University,American Conference,https://tulanegreenwave.com/sports/womens-volleyball/roster,
University of Tulsa,American Conference,https://tulsahurricane.com/sports/womens-volleyball/roster,
University of Alabama at Birmingham,American Conference,https://uabsports.com/sports/womens-volleyball/roster,
University of Texas at San Antonio,American Conference,https://goutsa.com/sports/volleyball/roster,
Wichita State University,American Conference,https://goshockers.com/sports/womens-volleyball/roster,
Davidson College,Atlantic 10 Conference,https://davidsonwildcats.com/sports/womens-volleyball/roster,
University of Dayton,Atlantic 10 Conference,https://daytonflyers.com/sports/womens-volleyball/roster,
Duquesne University,Atlantic 10 Conference,https://goduquesne.com/sports/womens-volleyball/roster,
Fordham University,Atlantic 10 Conference,https://fordhamsports.com/sports/womens-volleyball/roster,
George Mason University,Atlantic 10 Conference,https://gomason.com/sports/womens-volleyball/roster,
George Washington University,Atlantic 10 Conference,https://gwsports.com/sports/womens-volleyball/roster,
Loyola University Chicago,Atlantic 10 Conference,https://loyolaramblers.com/sports/womens-volleyball/roster,
University of Rhode Island,Atlantic 10 Conference,https://gorhody.com/sports/womens-volleyball/roster,
Saint Louis University,Atlantic 10 Conference,https://slubillikens.com/sports/womens-volleyball/roster,
Virginia Commonwealth University,Atlantic 10 Conference,https://vcuathletics.com/sports/womens-volleyball/roster,
Boston College,Atlantic Coast Conference,https://bceagles.com/sports/womens-volleyball/roster,
"University of California, Berkeley",Atlantic Coast Conference,https://calbears.com/sports/womens-volleyball/roster,
Clemson University,Atlantic Coast Conference,https://clemsontigers.com/sports/volleyball/roster/,
Duke University,Atlantic Coast Conference,https://goduke.com/sports/womens-volleyball/roster,
Florida State University,Atlantic Coast Conference,https://seminoles.com/sports/womens-volleyball/roster?path=wvball,
Georgia Institute of Technology,Atlantic Coast Conference,https://ramblinwreck.com/sports/w-volley/roster/,
University of Louisville,Atlantic Coast Conference,https://gocards.com/sports/womens-volleyball/roster,
University of Miami,Atlantic Coast Conference,https://miamihurricanes.com/sports/wvball/roster/,
North Carolina State University,Atlantic Coast Conference,https://gopack.com/sports/womens-volleyball/roster,
University of North Carolina,Atlantic Coast Conference,https://goheels.com/sports/womens-volleyball/roster,
University of Notre Dame,Atlantic Coast Conference,https://fightingirish.com/sports/wvball/roster/,
University of Pittsburgh,Atlantic Coast Conference,https://pittsburghpanthers.com/sports/womens-volleyball/roster,
Southern Methodist University,Atlantic Coast Conference,https://smumustangs.com/sports/womens-volleyball/roster,
Stanford University,Atlantic Coast Conference,https://gostanford.com/sports/womens-volleyball/roster,
Syracuse University,Atlantic Coast Conference,https://cuse.com/sports/womens-volleyball/roster,
University of Virginia,Atlantic Coast Conference,https://virginiasports.com/sports/wvball/roster/,
