"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"3","Natt, Ali","77","64","0.83","8","164",".951","0.10","0","0","0","0.00","0","0"
"4","Rach, Danica","95","150","1.58","24","510",".953","0.25","0","11","11.0","0.12","1","0"
"7","Hoffman, Hanna","42","55","1.31","0","0",".000","0.00","0","0","0","0.00","1","0"
"8","Milliken, Grace","26","3","0.12","2","7",".714","0.08","0","23","23.0","0.88","1","0"
"10","Moore, Aubrey","64","140","2.19","1","3",".667","0.02","0","0","0","0.00","0","1"
"12","Hoppes, Sam","80","52","0.65","0","7","1.000","0.00","1","44","45.0","0.56","2","1"
"13","Ross, Audrey","108","162","1.50","51","642",".921","0.47","9","40","49.0","0.45","7","0"
"14","Herrington, Anna","111","55","0.50","1","17",".941","0.01","4","74","78.0","0.70","3","2"
"15","Mott, Lucy","111","185","1.67","0","3","1.000","0.00","0","14","14.0","0.13","2","1"
"16","Yelland, Brooklyn","112","384","3.43","27","378",".929","0.24","0","0","0","0.00","0","1"
"17","Roach, Cornelia","102","28","0.27","0","7","1.000","0.00","17","81","98.0","0.96","3","2"
"19","Marjanovic, Sofija","63","76","1.21","31","295",".895","0.49","6","16","22.0","0.35","0","0"
"21","Watson, Naomi","4","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0"
"22","Curtis, Savannah","58","19","0.33","1","16",".938","0.02","0","0","0","0.00","0","0"
"24","Layne, Sequoia","89","27","0.30","13","84",".845","0.15","7","20","27.0","0.30","11","0"
"29","Ehrlich, Bella","111","36","0.32","2","29",".931","0.02","13","125","138.0","1.24","10","1"
"33","Poehlein, Isabelle","12","8","0.67","0","0",".000","0.00","1","8","9.0","0.75","0","0"
"68","Wolf, Milly","4","1","0.25","0","0",".000","0.00","0","0","0","0.00","0","0"
"Total","","115","1445","12.57","193","2162",".911","1.68","58","456","286.0","2.49","41","9"
"","","115","1415","12.30","184","2251",".918","1.60","29","422","240.0","2.09","26","14"
