"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"3","Natt, Ali","77","31","3","12.0","0.16","2","0.03","1","6",".167","5","0.06","10","0.13","15"
"4","Rach, Danica","95","30","23","96.5","1.02","75","0.79","35","248",".161","8","0.08","16","0.17","24"
"7","Hoffman, Hanna","42","18","3","9.0","0.21","0","0.00","0","13",".000","119","2.83","9","0.21","8"
"8","Milliken, Grace","26","14","3","31.5","1.21","20","0.77","7","53",".245","2","0.08","0","0.00","3"
"10","Moore, Aubrey","64","18","9","22.0","0.34","4","0.06","2","11",".182","277","4.33","18","0.28","15"
"12","Hoppes, Sam","80","28","5","166.0","2.08","140","1.75","63","336",".229","5","0.06","3","0.04","4"
"13","Ross, Audrey","108","31","28","425.0","3.94","384","3.56","162","1029",".216","16","0.15","12","0.11","28"
"14","Herrington, Anna","111","32","20","259.0","2.33","218","1.96","84","556",".241","9","0.08","0","0.00","0"
"15","Mott, Lucy","111","32","20","43.0","0.39","6","0.05","4","43",".047","624","5.62","30","0.27","41"
"16","Yelland, Brooklyn","112","32","0","32.0","0.29","1","0.01","0","19",".053","164","1.46","31","0.28","44"
"17","Roach, Cornelia","102","31","31","192.5","1.89","125","1.23","36","289",".308","12","0.12","10","0.10","10"
"19","Marjanovic, Sofija","63","21","9","104.0","1.65","69","1.10","49","262",".076","5","0.08","21","0.33","14"
"21","Watson, Naomi","4","4","0","0","0.00","0","0.00","1","2","-.500","0","0.00","0","0.00","0"
"22","Curtis, Savannah","58","28","0","11.0","0.19","0","0.00","0","0",".000","3","0.05","11","0.19","6"
"24","Layne, Sequoia","89","29","6","171.0","1.92","153","1.72","84","397",".174","2","0.02","1","0.01","0"
"29","Ehrlich, Bella","111","31","30","217.5","1.96","130","1.17","46","316",".266","3","0.03","12","0.11","17"
"33","Poehlein, Isabelle","12","5","2","43.0","3.58","38","3.17","3","68",".515","0","0.00","0","0.00","0"
"68","Wolf, Milly","4","3","0","0","0.00","0","0.00","1","4","-.250","13","3.25","0","0.00","1"
"Total","","115","32","","1,835.0","15.96","1365","11.87","578","3652",".215","1267","11.02","184","1.60","230"
"","","115","32","","1,877.0","16.32","1444","12.56","632","3809",".213","1298","11.29","193","1.68","287"
