"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Swiercz, Izzy","101","135","1.34","10","191",".948","0.10","0","19","19.0","0.19","4","0"
"2","Rejment, Natalia","81","223","2.75","35","561",".938","0.43","8","18","26.0","0.32","1","0"
"3","Beatty, Molly","46","44","0.96","0","1","1.000","0.00","0","7","7.0","0.15","0","0"
"4","Weidman, Rainey","49","35","0.71","5","108",".954","0.10","0","0","0","0.00","0","0"
"5","Cripe, Taylor","100","213","2.13","41","448",".908","0.41","8","28","36.0","0.36","8","0"
"7","Olin, Abby","104","123","1.18","0","3","1.000","0.00","21","64","85.0","0.82","3","2"
"8","Uhwat, Maggie","36","34","0.94","10","121",".917","0.28","0","2","2.0","0.06","1","0"
"9","Anderson, Alina","82","229","2.79","30","364",".918","0.37","0","0","0","0.00","0","1"
"11","Peter, Ella","6","1","0.17","0","0",".000","0.00","0","5","5.0","0.83","2","0"
"12","Gebhardt, Maddy","2","0","0.00","0","5","1.000","0.00","0","0","0","0.00","0","0"
"15","Sanchez-George, Karla","13","10","0.77","0","1","1.000","0.00","0","0","0","0.00","0","1"
"16","Thomas, Grace","104","66","0.63","0","14","1.000","0.00","9","60","69.0","0.66","1","1"
"17","Muell, Keelyn","101","130","1.29","0","9","1.000","0.00","3","38","41.0","0.41","3","0"
"18","Conner, Brooklyn","84","14","0.17","0","3","1.000","0.00","14","51","65.0","0.77","5","1"
"20","Langton, Hannah","87","159","1.83","17","305",".944","0.20","0","0","0","0.00","0","0"
"Total","","107","1416","13.23","189","2134",".911","1.77","63","292","209.0","1.95","28","6"
"","","107","1443","13.49","167","2034",".918","1.56","71","322","232.0","2.17","41","3"
