"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Swiercz, Izzy","101","30","20","203.5","2.01","166","1.64","82","498",".169","16","0.16","28","0.28","52"
"2","Rejment, Natalia","81","24","21","273.0","3.37","238","2.94","107","693",".189","40","0.49","18","0.22","30"
"3","Beatty, Molly","46","19","11","9.5","0.21","1","0.02","4","14","-.214","204","4.43","5","0.11","10"
"4","Weidman, Rainey","49","19","1","4.0","0.08","0","0.00","0","1",".000","7","0.14","4","0.08","10"
"5","Cripe, Taylor","100","28","25","315.0","3.15","270","2.70","166","782",".133","15","0.15","23","0.23","47"
"7","Olin, Abby","104","30","29","246.0","2.37","171","1.64","63","435",".248","20","0.19","22","0.21","33"
"8","Uhwat, Maggie","36","13","8","56.0","1.56","50","1.39","35","163",".092","8","0.22","5","0.14","7"
"9","Anderson, Alina","82","23","0","1.0","0.01","1","0.01","1","3",".000","40","0.49","0","0.00","3"
"11","Peter, Ella","6","3","1","12.5","2.08","9","1.50","3","19",".316","0","0.00","1","0.17","0"
"12","Gebhardt, Maddy","2","1","0","1.0","0.50","1","0.50","0","3",".333","0","0.00","0","0.00","0"
"15","Sanchez-George, Karla","13","5","2","0","0.00","0","0.00","0","1",".000","39","3.00","0","0.00","1"
"16","Thomas, Grace","104","30","29","273.0","2.62","205","1.97","55","468",".321","10","0.10","29","0.28","30"
"17","Muell, Keelyn","101","29","17","96.0","0.95","51","0.50","14","129",".287","789","7.81","23","0.23","28"
"18","Conner, Brooklyn","84","26","15","193.5","2.30","153","1.82","39","331",".344","4","0.05","1","0.01","0"
"20","Langton, Hannah","87","27","1","8.0","0.09","0","0.00","0","2",".000","29","0.33","8","0.09","7"
"Total","","107","30","","1,692.0","15.81","1316","12.30","569","3542",".211","1221","11.41","167","1.56","258"
"","","107","30","","1,796.0","16.79","1375","12.85","530","3569",".237","1275","11.92","189","1.77","249"
