"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","McAuley, Kelly                                             1McAuley, Kelly","79","131","1.66","17","331",".949","0.22","0","9","9.0","0.11","0","0","View Bio"
"2","Herrick, Kate                                             2Herrick, Kate","87","159","1.83","0","2","1.000","0.00","0","0","0","0.00","0","0","View Bio"
"3","Damuni, Nia                                             3Damuni, Nia","112","219","1.96","0","3","1.000","0.00","1","6","7.0","0.06","4","0","View Bio"
"5","Martin, Brianna                                             5Martin, Brianna","29","29","1.00","2","63",".968","0.07","0","0","0","0.00","0","0","View Bio"
"6","Vandal, Gabby                                             6Vandal, Gabby","34","1","0.03","0","0",".000","0.00","2","7","9.0","0.26","0","0","View Bio"
"8","Donkers, Sjakkie                                             8Donkers, Sjakkie","106","204","1.92","40","657",".939","0.38","7","20","27.0","0.25","5","0","View Bio"
"10","Murphy, Hazel                                             10Murphy, Hazel","15","5","0.33","0","4","1.000","0.00","1","0","1.0","0.07","1","0","View Bio"
"11","Zaldivar, Carina                                             11Zaldivar, Carina","99","215","2.17","3","40",".925","0.03","0","0","0","0.00","0","0","View Bio"
"12","Larson, Autumn                                             12Larson, Autumn","98","85","0.87","3","27",".889","0.03","5","31","36.0","0.37","3","0","View Bio"
"13","Clyburn, Mia                                             13Clyburn, Mia","18","3","0.17","0","0",".000","0.00","3","7","10.0","0.56","0","0","View Bio"
"15","Rickert, Maggie                                             15Rickert, Maggie","110","153","1.39","46","672",".932","0.42","0","0","0","0.00","0","0","View Bio"
"16","Johnson, Dani                                             16Johnson, Dani","100","8","0.08","0","13","1.000","0.00","22","57","79.0","0.79","7","1","View Bio"
"18","Dykstra, Raechelle                                             18Dykstra, Raechelle","65","116","1.78","17","323",".947","0.26","0","6","6.0","0.09","0","0","View Bio"
"20","Walsh, Taylor                                             20Walsh, Taylor","112","57","0.51","0","17","1.000","0.00","12","50","62.0","0.55","9","0","View Bio"
"21","Thompson, Fallon                                             21Thompson, Fallon","99","69","0.70","0","4","1.000","0.00","7","41","48.0","0.48","3","0","View Bio"
"","Total","112","1454","12.98","164","2156",".924","1.46","60","234","177.0","1.58","32","1",""
"","Opponents","112","1462","13.05","180","2168",".917","1.61","83","346","256.0","2.29","28","5",""
