"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","McAuley, Kelly                                             1McAuley, Kelly","79","26","19","182.5","2.31","166","2.10","88","471",".166","12","0.15","12","0.15","11","View Bio"
"2","Herrick, Kate                                             2Herrick, Kate","87","24","6","25.0","0.29","6","0.07","1","15",".333","397","4.56","19","0.22","26","View Bio"
"3","Damuni, Nia                                             3Damuni, Nia","112","29","15","41.0","0.37","23","0.21","4","68",".279","684","6.11","14","0.13","23","View Bio"
"5","Martin, Brianna                                             5Martin, Brianna","29","14","0","2.0","0.07","0","0.00","0","0","0","4","0.14","2","0.07","7","View Bio"
"6","Vandal, Gabby                                             6Vandal, Gabby","34","18","1","8.5","0.25","3","0.09","5","23","-.087","0","0.00","0","0.00","1","View Bio"
"8","Donkers, Sjakkie                                             8Donkers, Sjakkie","106","28","28","477.0","4.50","428","4.04","160","1019",".263","19","0.18","32","0.30","35","View Bio"
"10","Murphy, Hazel                                             10Murphy, Hazel","15","8","0","22.0","1.47","21","1.40","10","50",".220","0","0.00","0","0.00","0","View Bio"
"11","Zaldivar, Carina                                             11Zaldivar, Carina","99","27","0","11.0","0.11","0","0.00","0","3",".000","65","0.66","11","0.11","15","View Bio"
"12","Larson, Autumn                                             12Larson, Autumn","98","28","18","229.5","2.34","167","1.70","77","520",".173","10","0.10","42","0.43","36","View Bio"
"13","Clyburn, Mia                                             13Clyburn, Mia","18","10","2","17.5","0.97","11","0.61","3","24",".333","1","0.06","0","0.00","0","View Bio"
"15","Rickert, Maggie                                             15Rickert, Maggie","110","29","0","4.0","0.04","1","0.01","0","2",".500","62","0.56","3","0.03","11","View Bio"
"16","Johnson, Dani                                             16Johnson, Dani","100","27","26","166.5","1.67","116","1.16","33","277",".300","3","0.03","0","0.00","1","View Bio"
"18","Dykstra, Raechelle                                             18Dykstra, Raechelle","65","25","12","135.0","2.08","127","1.95","43","362",".232","19","0.29","5","0.08","14","View Bio"
"20","Walsh, Taylor                                             20Walsh, Taylor","112","29","29","237.0","2.12","161","1.44","68","408",".228","7","0.06","39","0.35","49","View Bio"
"21","Thompson, Fallon                                             21Thompson, Fallon","99","28","18","228.5","2.31","200","2.02","99","518",".195","30","0.30","1","0.01","7","View Bio"
"","Total","112","29","","1,787.0","15.96","1430","12.77","591","3760",".223","1313","11.72","180","1.61","236",""
"","Opponents","112","29","","1,794.0","16.02","1374","12.27","565","3643",".222","1254","11.20","164","1.46","215",""
