"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"0","Watkins , Kamiera                                              0Watkins , Kamiera","54","30","0.56","0","3","1.000","0.00","13","40","53.0","0.98","3","0","View Bio"
"1","Briggs, Hope                                              1Briggs, Hope","77","31","0.40","1","34",".971","0.01","6","41","47.0","0.61","3","0","View Bio"
"1","Schramm, Kennedy                                             1Schramm, Kennedy","4","7","1.75","0","13","1.000","0.00","0","0","0","0.00","0","0",""
"2","James, Jayden                                             2James, Jayden","98","239","2.44","42","718",".942","0.43","7","21","28.0","0.29","7","1","View Bio"
"3","Stevens, Savanna                                             3Stevens, Savanna","4","7","1.75","1","19",".947","0.25","0","0","0","0.00","0","0",""
"5","Robinson, Katejion                                             5Robinson, Katejion","85","52","0.61","17","102",".833","0.20","6","15","21.0","0.25","3","1","View Bio"
"6","Gadis, Naija                                              6Gadis, Naija","98","103","1.05","2","8",".750","0.02","0","2","2.0","0.02","0","1","View Bio"
"6","Melgren, Anna                                             6Melgren, Anna","4","10","2.50","0","14","1.000","0.00","0","0","0","0.00","0","0",""
"7","Asomani, Giannelle                                             7Asomani, Giannelle","82","119","1.45","10","156",".936","0.12","0","0","0","0.00","0","0","View Bio"
"8","Moore, Mackenzie                                             8Moore, Mackenzie","11","3","0.27","0","4","1.000","0.00","0","1","1.0","0.09","1","0","View Bio"
"8","Redrow, Hannah                                             8Redrow, Hannah","4","1","0.25","0","1","1.000","0.00","0","1","1.0","0.25","0","0",""
"9","Byerly, Bianca                                             9Byerly, Bianca","4","5","1.25","0","14","1.000","0.00","0","0","0","0.00","0","0",""
"9","Zanders, Shelby                                             9Zanders, Shelby","42","13","0.31","0","2","1.000","0.00","7","14","21.0","0.50","3","0","View Bio"
"10","Dove, Karys                                              10Dove, Karys","98","123","1.26","0","6","1.000","0.00","0","5","5.0","0.05","1","0","View Bio"
"10","Drapela, Cassidy                                             10Drapela, Cassidy","4","9","2.25","0","12","1.000","0.00","0","3","3.0","0.75","0","0",""
"11","Archie, Allana                                             11Archie, Allana","4","0","0.00","0","0",".000","0.00","0","5","5.0","1.25","0","0",""
"12","Barger, Katy                                             12Barger, Katy","4","2","0.50","0","1","1.000","0.00","0","3","3.0","0.75","0","0",""
"12","Gilbert, Cierra                                             12Gilbert, Cierra","84","45","0.54","0","4","1.000","0.00","14","44","58.0","0.69","3","0","View Bio"
"13","Washington , Makenzie                                              13Washington , Makenzie","51","19","0.37","0","1","1.000","0.00","2","20","22.0","0.43","2","0","View Bio"
"14","Davis, Ryleigh                                             14Davis, Ryleigh","53","17","0.32","1","22",".955","0.02","7","9","16.0","0.30","1","0","View Bio"
"15","Dove, Kyra                                             15Dove, Kyra","75","25","0.33","0","4","1.000","0.00","29","36","65.0","0.87","10","0","View Bio"
"16","Euhus, Joya                                             16Euhus, Joya","4","1","0.25","0","0",".000","0.00","0","0","0","0.00","0","0",""
"16","Reeves, Maya                                             16Reeves, Maya","61","82","1.34","11","206",".947","0.18","0","0","0","0.00","0","0","View Bio"
"17","Carter, Kymorah                                             17Carter, Kymorah","98","242","2.47","36","549",".934","0.37","0","0","0","0.00","0","0","View Bio"
"18","Fadal, Peyton                                             18Fadal, Peyton","4","9","2.25","0","0",".000","0.00","0","0","0","0.00","0","0",""
"18","Troutman, Kayla                                             18Troutman, Kayla","5","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","1","View Bio"
"19","Hall, Malaya                                             19Hall, Malaya","1","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0","View Bio"
"","Total","98","1194","12.18","188","1893",".901","1.92","91","260","221.0","2.26","37","4",""
"","Opponents","98","1078","11.00","168","1992",".916","1.71","82","266","215.0","2.19","28","9",""
