"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"0","Watkins , Kamiera                                              0Watkins , Kamiera","54","22","12","93.0","1.72","46","0.85","20","97",".268","6","0.11","14","0.26","14","View Bio"
"1","Briggs, Hope                                              1Briggs, Hope","77","20","19","250.5","3.25","223","2.90","75","466",".318","5","0.06","1","0.01","0","View Bio"
"1","Schramm, Kennedy                                             1Schramm, Kennedy","4","1","0","0","0.00","0","0.00","0","0","0","0","0.00","0","0.00","0",""
"2","James, Jayden                                             2James, Jayden","98","26","26","450.5","4.60","388","3.96","165","954",".234","22","0.22","45","0.46","61","View Bio"
"3","Stevens, Savanna                                             3Stevens, Savanna","4","1","0","2.0","0.50","0","0.00","0","1",".000","0","0.00","2","0.50","2",""
"5","Robinson, Katejion                                             5Robinson, Katejion","85","25","23","169.5","1.99","156","1.84","93","433",".145","8","0.09","0","0.00","0","View Bio"
"6","Gadis, Naija                                              6Gadis, Naija","98","26","8","34.0","0.35","15","0.15","9","67",".090","441","4.50","18","0.18","20","View Bio"
"6","Melgren, Anna                                             6Melgren, Anna","4","1","0","3.0","0.75","0","0.00","0","1",".000","1","0.25","3","0.75","2",""
"7","Asomani, Giannelle                                             7Asomani, Giannelle","82","23","3","4.0","0.05","1","0.01","1","7",".000","16","0.20","3","0.04","11","View Bio"
"8","Moore, Mackenzie                                             8Moore, Mackenzie","11","9","0","4.5","0.41","4","0.36","8","22","-.182","0","0.00","0","0.00","0","View Bio"
"8","Redrow, Hannah                                             8Redrow, Hannah","4","1","1","12.5","3.13","12","3.00","2","23",".435","0","0.00","0","0.00","0",""
"9","Byerly, Bianca                                             9Byerly, Bianca","4","1","1","4.0","1.00","0","0.00","0","1",".000","3","0.75","4","1.00","1",""
"9","Zanders, Shelby                                             9Zanders, Shelby","42","14","5","56.0","1.33","41","0.98","15","96",".271","2","0.05","1","0.02","6","View Bio"
"10","Dove, Karys                                              10Dove, Karys","98","26","18","52.5","0.54","16","0.16","4","72",".167","508","5.18","34","0.35","37","View Bio"
"10","Drapela, Cassidy                                             10Drapela, Cassidy","4","1","1","4.5","1.13","3","0.75","4","27","-.037","0","0.00","0","0.00","0",""
"11","Archie, Allana                                             11Archie, Allana","4","1","1","14.5","3.63","12","3.00","5","33",".212","0","0.00","0","0.00","2",""
"12","Barger, Katy                                             12Barger, Katy","4","1","0","10.5","2.63","9","2.25","5","26",".154","0","0.00","0","0.00","0",""
"12","Gilbert, Cierra                                             12Gilbert, Cierra","84","26","20","139.0","1.65","93","1.11","45","228",".211","9","0.11","10","0.12","24","View Bio"
"13","Washington , Makenzie                                              13Washington , Makenzie","51","18","2","69.0","1.35","57","1.12","39","153",".118","3","0.06","0","0.00","0","View Bio"
"14","Davis, Ryleigh                                             14Davis, Ryleigh","53","20","2","60.5","1.14","49","0.92","38","146",".075","4","0.08","0","0.00","1","View Bio"
"15","Dove, Kyra                                             15Dove, Kyra","75","22","18","176.0","2.35","129","1.72","38","258",".353","6","0.08","0","0.00","0","View Bio"
"16","Euhus, Joya                                             16Euhus, Joya","4","1","1","15.0","3.75","15","3.75","3","25",".480","1","0.25","0","0.00","3",""
"16","Reeves, Maya                                             16Reeves, Maya","61","20","0","11.0","0.18","1","0.02","1","7",".000","11","0.18","10","0.16","24","View Bio"
"17","Carter, Kymorah                                             17Carter, Kymorah","98","26","0","27.0","0.28","5","0.05","7","43","-.047","74","0.76","22","0.22","18","View Bio"
"18","Fadal, Peyton                                             18Fadal, Peyton","4","1","1","2.0","0.50","2","0.50","1","5",".200","40","10.00","0","0.00","2",""
"18","Troutman, Kayla                                             18Troutman, Kayla","5","4","0","1.0","0.20","0","0.00","0","0","0","11","2.20","1","0.20","1","View Bio"
"19","Hall, Malaya                                             19Hall, Malaya","1","1","0","0","0.00","0","0.00","0","0","0","0","0.00","0","0.00","0","View Bio"
"","Total","98","27","","1,666.0","17.00","1277","13.03","578","3191",".219","1171","11.95","168","1.71","229",""
"","Opponents","98","27","","1,503.0","15.34","1100","11.22","578","3112",".168","1015","10.36","188","1.92","204",""
