"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Louisell, Kennedy","126","274","2.17","37","820",".955","0.29","6","52","58.0","0.46","1","0"
"2","Wenrich, Grace","123","205","1.67","0","3","1.000","0.00","0","0","0","0.00","0","1"
"5","McNeley, Julia","125","470","3.76","32","860",".963","0.26","0","0","0","0.00","0","0"
"6","Norman, Addie","119","30","0.25","2","6",".667","0.02","2","58","60.0","0.50","14","0"
"7","Linterman, Peri","17","5","0.29","0","1","1.000","0.00","1","11","12.0","0.71","2","0"
"8","Wilson, Anna","111","38","0.34","0","11","1.000","0.00","18","109","127.0","1.14","10","0"
"9","Nhial, Ayen","123","30","0.24","2","4",".500","0.02","25","140","165.0","1.34","7","0"
"11","Schnell, Sarah","18","5","0.28","0","0",".000","0.00","0","2","2.0","0.11","0","0"
"12","Watkins, Rebecca","99","146","1.47","0","3","1.000","0.00","0","2","2.0","0.02","0","0"
"13","Toumazatos, Ana","124","52","0.42","12","135",".911","0.10","8","42","50.0","0.40","3","0"
"14","Smart, Jordan","49","66","1.35","0","0",".000","0.00","0","1","1.0","0.02","0","0"
"15","Bradley, B'Lise","2","0","0.00","0","0",".000","0.00","0","2","2.0","1.00","0","0"
"16","Davis, Shelby","94","35","0.37","0","8","1.000","0.00","0","0","0","0.00","0","0"
"17","Lewis, Sydney","126","292","2.32","25","576",".957","0.20","0","0","0","0.00","0","0"
"20","Ilter, Melisa","124","51","0.41","0","1","1.000","0.00","3","106","109.0","0.88","4","0"
"Total","","126","1699","13.48","152","2428",".937","1.21","63","525","325.5","2.58","41","1"
"","","126","1640","13.02","189","2496",".924","1.50","64","401","264.5","2.10","36","0"
