"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Louisell, Kennedy","126","31","31","676.0","5.37","605","4.80","173","1436",".301","19","0.15","39","0.31","39"
"2","Wenrich, Grace","123","31","28","24.0","0.20","9","0.07","5","41",".098","676","5.50","15","0.12","11"
"5","McNeley, Julia","125","31","5","36.0","0.29","2","0.02","1","11",".091","79","0.63","34","0.27","31"
"6","Norman, Addie","119","31","25","273.0","2.29","242","2.03","94","565",".262","3","0.03","0","0.00","0"
"7","Linterman, Peri","17","6","3","26.5","1.56","18","1.06","7","39",".282","0","0.00","2","0.12","10"
"8","Wilson, Anna","111","28","28","224.5","2.02","128","1.15","40","296",".297","4","0.04","24","0.22","77"
"9","Nhial, Ayen","123","31","30","246.0","2.00","150","1.22","60","329",".274","3","0.02","1","0.01","1"
"11","Schnell, Sarah","18","6","1","21.0","1.17","20","1.11","5","47",".319","0","0.00","0","0.00","0"
"12","Watkins, Rebecca","99","28","2","56.0","0.57","27","0.27","6","63",".333","479","4.84","28","0.28","25"
"13","Toumazatos, Ana","124","31","0","354.0","2.85","324","2.61","146","899",".198","6","0.05","1","0.01","1"
"14","Smart, Jordan","49","18","1","9.5","0.19","2","0.04","0","13",".154","212","4.33","7","0.14","10"
"15","Bradley, B'Lise","2","2","1","2.0","1.00","1","0.50","0","2",".500","0","0.00","0","0.00","0"
"16","Davis, Shelby","94","30","0","21.0","0.22","1","0.01","0","2",".500","6","0.06","20","0.21","23"
"17","Lewis, Sydney","126","31","26","21.0","0.17","3","0.02","1","10",".200","99","0.79","18","0.14","24"
"20","Ilter, Melisa","124","31","5","219.0","1.77","163","1.31","76","485",".179","8","0.06","0","0.00","2"
"Total","","126","31","","2,209.5","17.54","1695","13.45","614","4238",".255","1594","12.65","189","1.50","254"
"","","126","31","","2,040.5","16.19","1624","12.89","679","4312",".219","1501","11.91","152","1.21","233"
