"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Wilson, Sophia                                             1Wilson, Sophia","94","158","1.68","0","5","1.000","0.00","0","0","0","0.00","0","0","View Bio"
"2","Gouldrup, Emily                                             2Gouldrup, Emily","95","467","4.92","67","810",".917","0.71","0","0","0","0.00","0","1","View Bio"
"3","Mbeche-Odhiambo, Auma                                             3Mbeche-Odhiambo, Auma","94","92","0.98","6","133",".955","0.06","4","46","50.0","0.53","9","0","View Bio"
"5","Calhoun, Mackenzie                                             5Calhoun, Mackenzie","95","192","2.02","0","0",".000","0.00","0","2","2.0","0.02","1","6","View Bio"
"6","Xiong, Ella                                             6Xiong, Ella","38","11","0.29","4","24",".833","0.11","0","0","0","0.00","0","0","View Bio"
"8","Feczko, Ally                                             8Feczko, Ally","78","172","2.21","38","407",".907","0.49","1","9","10.0","0.13","0","2","View Bio"
"9","Ulichney, Carol                                             9Ulichney, Carol","85","186","2.19","21","347",".939","0.25","1","22","23.0","0.27","1","0","View Bio"
"10","Pynchon, Kadi                                             10Pynchon, Kadi","12","7","0.58","4","22",".818","0.33","0","0","0","0.00","0","0","View Bio"
"15","Ehrich-Pollock, Hannah                                             15Ehrich-Pollock, Hannah","46","14","0.30","1","3",".667","0.02","3","29","32.0","0.70","2","0","View Bio"
"20","Aksu, Jada                                             20Aksu, Jada","84","33","0.39","1","27",".963","0.01","3","51","54.0","0.64","4","0","View Bio"
"22","McKenzie, Destiny                                             22McKenzie, Destiny","94","125","1.33","16","182",".912","0.17","2","43","45.0","0.48","3","0","View Bio"
"24","Nicholson, Abby                                             24Nicholson, Abby","95","23","0.24","2","9",".778","0.02","11","85","96.0","1.01","2","3","View Bio"
"","Total","95","1480","15.58","184","1969",".907","1.94","25","287","168.5","1.77","22","12",""
"","Opponents","95","1691","17.80","116","1751",".934","1.22","25","320","185.0","1.95","24","12",""
