"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Wilson, Sophia                                             1Wilson, Sophia","94","26","1","24.0","0.26","7","0.07","1","23",".261","371","3.95","17","0.18","26","View Bio"
"2","Gouldrup, Emily                                             2Gouldrup, Emily","95","26","0","14.0","0.15","0","0.00","1","20","-.050","73","0.77","14","0.15","18","View Bio"
"3","Mbeche-Odhiambo, Auma                                             3Mbeche-Odhiambo, Auma","94","26","24","310.0","3.30","283","3.01","126","827",".190","7","0.07","0","0.00","4","View Bio"
"5","Calhoun, Mackenzie                                             5Calhoun, Mackenzie","95","26","25","29.0","0.31","6","0.06","2","30",".133","491","5.17","22","0.23","16","View Bio"
"6","Xiong, Ella                                             6Xiong, Ella","38","15","0","5.0","0.13","0","0.00","0","0","0","1","0.03","5","0.13","8","View Bio"
"8","Feczko, Ally                                             8Feczko, Ally","78","23","20","136.5","1.75","115","1.47","76","470",".083","9","0.12","16","0.21","28","View Bio"
"9","Ulichney, Carol                                             9Ulichney, Carol","85","25","23","175.0","2.06","141","1.66","71","653",".107","12","0.14","22","0.26","25","View Bio"
"10","Pynchon, Kadi                                             10Pynchon, Kadi","12","5","0","0","0.00","0","0.00","0","2",".000","0","0.00","0","0.00","0","View Bio"
"15","Ehrich-Pollock, Hannah                                             15Ehrich-Pollock, Hannah","46","12","12","69.5","1.51","52","1.13","22","166",".181","0","0.00","0","0.00","1","View Bio"
"20","Aksu, Jada                                             20Aksu, Jada","84","25","2","175.5","2.09","147","1.75","80","439",".153","3","0.04","0","0.00","0","View Bio"
"22","McKenzie, Destiny                                             22McKenzie, Destiny","94","26","23","180.5","1.92","138","1.47","68","483",".145","11","0.12","19","0.20","27","View Bio"
"24","Nicholson, Abby                                             24Nicholson, Abby","95","26","26","199.5","2.10","145","1.53","42","382",".270","3","0.03","1","0.01","5","View Bio"
"","Total","95","26","","1,318.5","13.88","1034","10.88","489","3495",".156","981","10.33","116","1.22","158",""
"","Opponents","95","26","","1,711.0","18.01","1348","14.19","514","3578",".233","1234","12.99","178","1.87","191",""
