"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"3","Gonzalez, Alexa                                              3Gonzalez, Alexa","121","282","2.33","1","4",".750","0.01","1","10","11.0","0.09","1","1","View Bio"
"4","Stanley, Addison                                             4Stanley, Addison","43","68","1.58","11","141",".922","0.26","0","0","0","0.00","0","0","View Bio"
"6","Moon, Emily                                             6Moon, Emily","35","10","0.29","0","8","1.000","0.00","4","12","16.0","0.46","4","0","View Bio"
"7","Johnson, Riley                                             7Johnson, Riley","48","21","0.44","0","1","1.000","0.00","9","14","23.0","0.48","1","0","View Bio"
"9","Elms, Kinley                                             9Elms, Kinley","60","49","0.82","1","3",".667","0.02","2","23","25.0","0.42","1","0","View Bio"
"10","McEllrath, Hailey                                             10McEllrath, Hailey","83","56","0.67","0","7","1.000","0.00","16","44","60.0","0.72","6","0","View Bio"
"11","Moffitt, Jo                                             11Moffitt, Jo","62","122","1.97","0","1","1.000","0.00","0","0","0","0.00","0","0","View Bio"
"14","Nellis, Keeley                                             14Nellis, Keeley","93","158","1.70","21","346",".939","0.23","0","0","0","0.00","0","0","View Bio"
"17","Malinowska, Maja                                             17Malinowska, Maja","107","368","3.44","30","642",".953","0.28","18","23","41.0","0.38","0","0","View Bio"
"18","Bustamante, Ceci                                             18Bustamante, Ceci","9","18","2.00","3","46",".935","0.33","0","0","0","0.00","0","0","View Bio"
"19","Baker, Gabby                                             19Baker, Gabby","121","602","4.98","20","630",".968","0.17","0","0","0","0.00","0","0","View Bio"
"20","Udegbunam, Daniella                                             20Udegbunam, Daniella","114","22","0.19","2","7",".714","0.02","39","89","128.0","1.12","14","0","View Bio"
"21","Rhone, Taisha                                             21Rhone, Taisha","98","133","1.36","9","217",".959","0.09","15","49","64.0","0.65","5","1","View Bio"
"22","Jordan, Lyric                                             22Jordan, Lyric","101","107","1.06","31","294",".895","0.31","9","25","34.0","0.34","6","0","View Bio"
"30","Griffen, Sydnee                                             30Griffen, Sydnee","26","13","0.50","0","0",".000","0.00","2","8","10.0","0.38","2","0","View Bio"
"","Total","121","2029","16.77","165","2347",".930","1.36","115","297","263.5","2.18","40","2",""
"","Opponents","121","2159","17.84","193","2192",".912","1.60","66","264","198.0","1.64","33","3",""
