"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"2","Lupton, Branwyn                                             2Lupton, Branwyn","96","53","0.55","1","8",".875","0.01","2","52","54.0","0.56","3","0","View Bio"
"3","Jehlen, Skylar                                             3Jehlen, Skylar","92","103","1.12","2","3",".333","0.02","0","0","0","0.00","0","1","View Bio"
"4","Menke, Brooke                                             4Menke, Brooke","88","316","3.59","70","711",".902","0.80","0","0","0","0.00","0","0","View Bio"
"5","Louden, Denali                                             5Louden, Denali","59","129","2.19","23","265",".913","0.39","1","8","9.0","0.15","0","0","View Bio"
"6","Hamlin, Jordyn                                             6Hamlin, Jordyn","29","60","2.07","13","179",".927","0.45","2","3","5.0","0.17","0","0","View Bio"
"7","Tasdelen, Nil Ezgi                                             7Tasdelen, Nil Ezgi","93","22","0.24","2","6",".667","0.02","10","51","61.0","0.66","7","1","View Bio"
"8","Salas, Nina                                             8Salas, Nina","88","139","1.58","55","493",".888","0.63","1","14","15.0","0.17","2","0","View Bio"
"9","Rodriguez, Jazmin                                             9Rodriguez, Jazmin","80","28","0.35","5","29",".828","0.06","2","21","23.0","0.29","5","0","View Bio"
"10","Buescher, Haley                                             10Buescher, Haley","60","86","1.43","17","185",".908","0.28","0","1","1.0","0.02","0","0","View Bio"
"11","Schneider, Eiley                                             11Schneider, Eiley","91","15","0.16","1","6",".833","0.01","8","63","71.0","0.78","5","0","View Bio"
"12","Gerken, Haley                                             12Gerken, Haley","98","155","1.58","0","4","1.000","0.00","0","7","7.0","0.07","1","2","View Bio"
"13","Zajac, Cami                                             13Zajac, Cami","54","25","0.46","8","35",".771","0.15","0","0","0","0.00","0","0","View Bio"
"15","Hooey, Piper                                             15Hooey, Piper","33","10","0.30","6","87",".931","0.18","0","7","7.0","0.21","2","0","View Bio"
"19","Horan, Payton                                             19Horan, Payton","47","8","0.17","2","14",".857","0.04","1","20","21.0","0.45","0","0","View Bio"
"21","Mason, Jules                                             21Mason, Jules","5","8","1.60","0","0",".000","0.00","0","0","0","0.00","0","0","View Bio"
"","Total","98","1157","11.81","226","2025",".888","2.31","27","247","150.5","1.54","25","4",""
"","Opponents","98","1304","13.31","145","1650",".912","1.48","36","280","176.0","1.80","24","2",""
