"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"2","Lupton, Branwyn                                             2Lupton, Branwyn","96","28","27","283.0","2.95","255","2.66","119","637",".214","1","0.01","0","0.00","5","View Bio"
"3","Jehlen, Skylar                                             3Jehlen, Skylar","92","28","0","20.0","0.22","2","0.02","1","18",".056","246","2.67","18","0.20","37","View Bio"
"4","Menke, Brooke                                             4Menke, Brooke","88","25","1","37.0","0.42","3","0.03","1","15",".133","63","0.72","34","0.39","43","View Bio"
"5","Louden, Denali                                             5Louden, Denali","59","18","14","144.0","2.44","130","2.20","70","418",".144","14","0.24","9","0.15","29","View Bio"
"6","Hamlin, Jordyn                                             6Hamlin, Jordyn","29","8","8","101.5","3.50","86","2.97","44","287",".146","6","0.21","12","0.41","6","View Bio"
"7","Tasdelen, Nil Ezgi                                             7Tasdelen, Nil Ezgi","93","28","27","102.5","1.10","64","0.69","30","197",".173","14","0.15","3","0.03","17","View Bio"
"8","Salas, Nina                                             8Salas, Nina","88","27","24","226.0","2.57","198","2.25","92","625",".170","14","0.16","20","0.23","24","View Bio"
"9","Rodriguez, Jazmin                                             9Rodriguez, Jazmin","80","26","8","110.5","1.38","96","1.20","65","319",".097","3","0.04","2","0.03","3","View Bio"
"10","Buescher, Haley                                             10Buescher, Haley","60","22","0","12.5","0.21","0","0.00","0","8",".000","13","0.22","12","0.20","22","View Bio"
"11","Schneider, Eiley                                             11Schneider, Eiley","91","26","26","95.5","1.05","52","0.57","17","155",".226","3","0.03","4","0.04","10","View Bio"
"12","Gerken, Haley                                             12Gerken, Haley","98","28","28","38.5","0.39","17","0.17","2","57",".263","532","5.43","18","0.18","20","View Bio"
"13","Zajac, Cami                                             13Zajac, Cami","54","23","0","9.0","0.17","0","0.00","0","1",".000","4","0.07","9","0.17","8","View Bio"
"15","Hooey, Piper                                             15Hooey, Piper","33","18","2","39.5","1.20","32","0.97","14","92",".196","1","0.03","4","0.12","12","View Bio"
"19","Horan, Payton                                             19Horan, Payton","47","20","3","64.0","1.36","53","1.13","37","173",".092","1","0.02","0","0.00","0","View Bio"
"21","Mason, Jules                                             21Mason, Jules","5","4","0","0","0.00","0","0.00","0","0","0","14","2.80","0","0.00","3","View Bio"
"","Total","98","28","","1,283.5","13.10","988","10.08","492","3002",".165","929","9.48","145","1.48","239",""
"","Opponents","98","28","","1,715.0","17.50","1313","13.40","461","3145",".271","1224","12.49","226","2.31","239",""
