##,Player,SP,K,K/S,E,TA,PCT,A,A/S,SA,SE,SA/S,RE,DIG,DIG/S,BS,BA,TOT/S,BLK/S,BE,BHE,PTS
0,"Cassidy, Laurel",70,0,0.00,0,0,.000,40,0.57,4,9,0.06,8,128,1.83,0,0,0,0.00,0,0,4.0
1,"Tevdoradze, Ana",8,3,0.38,5,27,-.074,0,0.00,1,2,0.13,1,4,0.50,1,4,5,0.63,0,0,7.0
2,"Smith, Tireh",85,110,1.29,50,300,.200,8,0.09,4,10,0.05,0,41,0.48,2,42,44,0.52,11,1,137.0
3,"Kirkhoff, Aly",88,1,0.01,1,3,.000,55,0.63,7,27,0.08,7,191,2.17,0,0,0,0.00,0,0,8.0
4,"Lee, Angelina",91,128,1.41,36,306,.301,7,0.08,0,0,0.00,0,20,0.22,11,64,75,0.82,2,0,171.0
5,"Robinson, Jurnee",101,495,4.90,224,1190,.228,23,0.23,16,51,0.16,10,264,2.61,9,53,62,0.61,6,1,546.5
6,"Washington, Nia",95,323,3.40,168,937,.165,23,0.24,24,55,0.25,31,207,2.18,6,23,29,0.31,6,0,364.5
7,"Jones, Jessica",101,149,1.48,34,359,.320,7,0.07,12,56,0.12,1,48,0.48,7,99,106,1.05,4,0,217.5
8,"Hemmings, Ella",75,1,0.01,0,4,.250,39,0.52,12,17,0.16,19,114,1.52,0,0,0,0.00,0,0,13.0
9,"Jeffery, Camryn",37,39,1.05,16,120,.192,1,0.03,0,1,0.00,0,28,0.76,1,23,24,0.65,1,0,51.5
10,"Prochaska, Emilee",6,0,0.00,0,0,.000,0,0.00,0,0,0.00,3,5,0.83,0,0,0,0.00,0,0,0.0
13,"Froehlich, AC",28,11,0.39,9,47,.043,2,0.07,3,4,0.11,4,26,0.93,0,5,5,0.18,0,0,16.5
15,"Brooker, Lauren",99,29,0.29,11,90,.200,627,6.33,11,12,0.11,0,141,1.42,2,29,31,0.31,3,1,56.5
23,"Donaie, Sanaa",16,12,0.75,2,35,.286,1,0.06,0,0,0.00,0,3,0.19,1,20,21,1.31,3,0,23.0
24,"Bonnaffee, Sophie",11,0,0.00,0,0,.000,0,0.00,0,5,0.00,0,0,0.00,0,0,0,0.00,0,0,0.0
25,"Brown, Takyla",84,1,0.01,0,5,.200,395,4.70,2,15,0.02,0,129,1.54,0,4,4,0.05,0,0,5.0
