"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Geer, Audrey","72","162","2.25","28","426",".934","0.39","3","21","24.0","0.33","2","1"
"2","Stone, Addison","2","1","0.50","0","0",".000","0.00","0","0","0","0.00","0","0"
"3","Kerr, Carys","51","17","0.33","1","39",".974","0.02","5","7","12.0","0.24","0","0"
"4","Sayre, Emma","66","262","3.97","19","247",".923","0.29","0","0","0","0.00","0","0"
"5","Ciccarelli, Beatrice","108","77","0.71","3","64",".953","0.03","25","85","110.0","1.02","17","1"
"7","Barry, Elli","102","62","0.61","0","8","1.000","0.00","7","34","41.0","0.40","2","0"
"8","Caba, Morgan","73","145","1.99","12","135",".911","0.16","0","0","0","0.00","0","0"
"9","Sasse, Peyton","5","0","0.00","0","1","1.000","0.00","0","2","2.0","0.40","0","0"
"10","Castellanos, Annika","59","59","1.00","9","160",".944","0.15","0","4","4.0","0.07","0","0"
"11","Barnett, Emma","107","254","2.37","43","732",".941","0.40","5","30","35.0","0.33","0","0"
"13","Hunt, Maya","69","70","1.01","0","2","1.000","0.00","0","0","0","0.00","2","2"
"14","Nieves, Isabella","16","8","0.50","0","0",".000","0.00","0","0","0","0.00","0","0"
"15","Henderson, Logan","80","29","0.36","0","0",".000","0.00","5","34","39.0","0.49","5","1"
"16","Reilly, Marae","106","26","0.25","1","32",".969","0.01","14","47","61.0","0.58","1","0"
"17","Thompson, Bella","109","229","2.10","1","3",".667","0.01","1","4","5.0","0.05","1","1"
"18","Schoenhardt, Kenzie","72","144","2.00","12","262",".954","0.17","0","1","1.0","0.01","0","0"
"20","Collier, Izzy","9","3","0.33","1","7",".857","0.11","0","6","6.0","0.67","1","0"
"23","Wadsworth, Sarah","3","7","2.33","2","11",".818","0.67","0","0","0","0.00","0","0"
"Total","","109","1555","14.27","163","2129",".923","1.50","65","275","202.5","1.86","31","6"
"","","109","1680","15.41","154","2105",".927","1.41","60","333","226.5","2.08","47","5"
