"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Geer, Audrey","72","20","18","143.5","1.99","116","1.61","70","389",".118","8","0.11","14","0.19","32"
"2","Stone, Addison","2","2","0","0","0.00","0","0.00","0","0",".000","3","1.50","0","0.00","1"
"3","Kerr, Carys","51","19","11","89.5","1.75","78","1.53","54","269",".089","1","0.02","3","0.06","16"
"4","Sayre, Emma","66","18","0","17.0","0.26","1","0.02","0","4",".250","51","0.77","16","0.24","12"
"5","Ciccarelli, Beatrice","108","30","30","333.5","3.09","238","2.20","80","541",".292","17","0.16","28","0.26","31"
"7","Barry, Elli","102","30","25","186.0","1.82","162","1.59","60","491",".208","7","0.07","0","0.00","0"
"8","Caba, Morgan","73","28","1","6.0","0.08","0","0.00","0","5",".000","20","0.27","6","0.08","13"
"9","Sasse, Peyton","5","4","0","6.0","1.20","5","1.00","4","16",".063","0","0.00","0","0.00","0"
"10","Castellanos, Annika","59","24","1","19.0","0.32","12","0.20","10","72",".028","2","0.03","5","0.08","6"
"11","Barnett, Emma","107","30","29","381.0","3.56","331","3.09","123","1002",".208","23","0.21","30","0.28","34"
"13","Hunt, Maya","69","23","0","13.0","0.19","4","0.06","0","9",".444","261","3.78","9","0.13","7"
"14","Nieves, Isabella","16","10","0","6.0","0.38","3","0.19","2","9",".111","48","3.00","3","0.19","0"
"15","Henderson, Logan","80","24","4","190.0","2.38","168","2.10","59","439",".248","3","0.04","0","0.00","0"
"16","Reilly, Marae","106","30","29","215.5","2.03","168","1.58","39","455",".284","12","0.11","10","0.09","13"
"17","Thompson, Bella","109","30","30","36.0","0.33","17","0.16","10","58",".121","727","6.67","16","0.15","31"
"18","Schoenhardt, Kenzie","72","23","1","15.5","0.22","1","0.01","0","5",".200","24","0.33","14","0.19","4"
"20","Collier, Izzy","9","8","1","8.0","0.89","5","0.56","4","23",".043","0","0.00","0","0.00","1"
"23","Wadsworth, Sarah","3","1","0","0","0.00","0","0.00","4","10","-.400","0","0.00","0","0.00","0"
"Total","","109","30","","1,665.5","15.28","1309","12.01","519","3797",".208","1207","11.07","154","1.41","201"
"","","109","30","","1,853.5","17.00","1464","13.43","591","3880",".225","1372","12.59","163","1.50","235"
