"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Thompson, Charlotte","98","62","0.63","17","234",".927","0.17","5","23","28.0","0.29","7","0"
"3","Sanjurjo, Joselynn","106","29","0.27","0","13","1.000","0.00","15","67","82.0","0.77","3","2"
"4","Elliott, Olivia","56","18","0.32","0","1","1.000","0.00","0","23","23.0","0.41","3","0"
"5","VanCott, Sydney","32","10","0.31","1","4",".750","0.03","1","14","15.0","0.47","1","0"
"6","Dunn, Jessica","96","157","1.64","1","6",".833","0.01","0","1","1.0","0.01","0","2"
"7","Wilks, Avery","103","54","0.52","3","22",".864","0.03","11","59","70.0","0.68","7","1"
"8","Bergjans, Sammi","102","211","2.07","1","2",".500","0.01","1","6","7.0","0.07","4","1"
"9","Martin, Aubri","106","509","4.80","30","511",".941","0.28","0","0","0","0.00","0","1"
"10","Kaoui, Brooke","1","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0"
"11","Matias-Lopez, Emily","17","33","1.94","11","87",".874","0.65","0","0","0","0.00","0","0"
"13","Havrilla, Abbey","79","166","2.10","35","409",".914","0.44","0","0","0","0.00","1","0"
"15","Nelson, Destiny","69","29","0.42","0","1","1.000","0.00","0","28","28.0","0.41","5","0"
"16","Henry, Sophia","102","178","1.75","53","635",".917","0.52","4","16","20.0","0.20","3","0"
"18","Calton, Jasmine","2","0","0.00","0","0",".000","0.00","1","1","2.0","1.00","0","0"
"20","Matta, Lara","60","32","0.53","1","49",".980","0.02","0","25","25.0","0.42","3","0"
"21","Frager, Sarah","40","66","1.65","14","165",".915","0.35","0","0","0","0.00","0","1"
"Total","","106","1554","14.66","191","2139",".911","1.80","38","263","169.5","1.60","37","8"
"","","106","1545","14.58","162","1976",".918","1.53","47","348","221.0","2.08","25","9"
