"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Thompson, Charlotte","98","30","26","273.5","2.79","255","2.60","101","731",".211","8","0.08","2","0.02","3"
"3","Sanjurjo, Joselynn","106","30","30","178.5","1.68","130","1.23","57","341",".214","9","0.08","0","0.00","4"
"4","Elliott, Olivia","56","21","0","77.5","1.38","66","1.18","36","208",".144","6","0.11","0","0.00","0"
"5","VanCott, Sydney","32","10","4","53.0","1.66","45","1.41","29","153",".105","1","0.03","0","0.00","2"
"6","Dunn, Jessica","96","28","6","40.5","0.42","26","0.27","6","77",".260","392","4.08","14","0.15","24"
"7","Wilks, Avery","103","30","30","245.5","2.38","183","1.78","58","459",".272","14","0.14","22","0.21","37"
"8","Bergjans, Sammi","102","30","24","67.0","0.66","20","0.20","8","82",".146","539","5.28","43","0.42","77"
"9","Martin, Aubri","106","30","0","37.0","0.35","4","0.04","3","38",".026","168","1.58","33","0.31","38"
"10","Kaoui, Brooke","1","1","0","0","0.00","0","0.00","0","0",".000","0","0.00","0","0.00","0"
"11","Matias-Lopez, Emily","17","9","3","4.0","0.24","1","0.06","2","10","-.100","4","0.24","3","0.18","4"
"13","Havrilla, Abbey","79","24","3","20.0","0.25","0","0.00","0","4",".000","32","0.41","20","0.25","43"
"15","Nelson, Destiny","69","25","13","130.0","1.88","116","1.68","62","357",".151","2","0.03","0","0.00","6"
"16","Henry, Sophia","102","30","28","372.0","3.65","339","3.32","163","956",".184","19","0.19","21","0.21","31"
"18","Calton, Jasmine","2","2","0","1.5","0.75","0","0.00","0","2",".000","0","0.00","0","0.00","0"
"20","Matta, Lara","60","20","11","142.5","2.38","130","2.17","76","356",".152","4","0.07","0","0.00","1"
"21","Frager, Sarah","40","17","2","5.0","0.12","1","0.03","1","4",".000","6","0.15","4","0.10","10"
"Total","","106","30","","1,647.5","15.54","1316","12.42","602","3778",".189","1204","11.36","162","1.53","280"
"","","106","30","","1,739.0","16.41","1327","12.52","482","3631",".233","1208","11.40","191","1.80","272"
