"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Lantz, Raegan","56","34","0.61","2","7",".714","0.04","6","24","30.0","0.54","2","0"
"2","Hicks, Hayden","118","192","1.63","0","10","1.000","0.00","0","3","3.0","0.03","1","2"
"3","McClure, Anna","115","322","2.80","16","485",".967","0.14","0","0","0","0.00","0","0"
"5","Kahren, Lindsay","124","368","2.97","14","521",".973","0.11","0","1","1.0","0.01","0","0"
"6","Creech, Molly","125","428","3.42","34","894",".962","0.27","5","42","47.0","0.38","0","0"
"7","Williams, Chelsea","113","63","0.56","12","220",".945","0.11","3","36","39.0","0.35","7","0"
"8","Crawford, Sophie","23","17","0.74","0","1","1.000","0.00","1","0","1.0","0.04","1","0"
"10","Hanson, Ellie","90","71","0.79","6","157",".962","0.07","5","11","16.0","0.18","0","0"
"11","Warrick, Gentry","120","50","0.42","0","14","1.000","0.00","36","132","168.0","1.40","5","0"
"13","Morgan, Emily","18","13","0.72","1","16",".938","0.06","0","0","0","0.00","0","0"
"14","Utley, Kamryn","120","208","1.73","0","1","1.000","0.00","0","2","2.0","0.02","1","1"
"15","Michelin, Lydia","87","19","0.22","0","5","1.000","0.00","18","49","67.0","0.77","6","0"
"17","Coyne, Lauren","119","43","0.36","0","3","1.000","0.00","6","88","94.0","0.79","2","0"
"20","Radaszewski, Lindy","117","50","0.43","0","6","1.000","0.00","3","55","58.0","0.50","5","3"
"22","Kreutz, Grace","55","34","0.62","6","89",".933","0.11","0","4","4.0","0.07","1","0"
"Total","","125","1912","15.30","126","2429",".948","1.01","83","447","306.5","2.45","31","6"
"","","125","2157","17.26","135","2495",".946","1.08","55","464","287.0","2.30","17","6"
