"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Carr, Logan","102","28","28","160.5","1.57","111","1.09","39","275",".262","3","0.03","0","0.00","0"
"2","Durbin, Raegan","106","28","28","390.0","3.68","339","3.20","199","1073",".130","19","0.18","37","0.35","34"
"3","Clinkscale, Gabrielle","75","21","11","219.5","2.93","191","2.55","104","602",".145","3","0.04","15","0.20","40"
"4","Lowell, Marie","93","27","7","14.0","0.15","1","0.01","0","2",".500","17","0.18","13","0.14","9"
"6","Marginean, Nora","8","6","0","2.0","0.25","2","0.25","1","6",".167","17","2.13","0","0.00","2"
"7","Yilmaz, Isil","106","28","0","25.0","0.24","2","0.02","0","8",".250","101","0.95","23","0.22","42"
"13","Dlouhá, Michaela","101","28","28","278.0","2.75","192","1.90","78","444",".257","6","0.06","32","0.32","29"
"14","Deidesheimer, Payton","96","28","22","209.5","2.18","180","1.88","93","541",".161","3","0.03","0","0.00","1"
"16","Macander, Caroline","106","28","28","87.0","0.82","46","0.43","12","152",".224","885","8.35","24","0.23","23"
"17","Oden, Ryan","29","13","0","0","0.00","0","0.00","0","0",".000","1","0.03","0","0.00","3"
"19","Cohen, Danit","15","7","0","5.0","0.33","1","0.07","0","9",".111","39","2.60","4","0.27","7"
"22","Schrader, Aowyn","59","22","9","125.5","2.13","106","1.80","72","365",".093","2","0.03","4","0.07","9"
"26","Stevens, Trinniti","32","14","3","43.0","1.34","35","1.09","21","101",".139","1","0.03","0","0.00","3"
"33","Poole, Mackenna","75","23","4","7.0","0.09","0","0.00","0","2",".000","22","0.29","7","0.09","25"
"Total","","106","28","","1,566.0","14.77","1206","11.38","619","3580",".164","1119","10.56","159","1.50","227"
"","","106","28","","1,740.0","16.42","1302","12.28","550","3619",".208","1204","11.36","211","1.99","261"
