"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Hawkins, Ashlynn                                             1Hawkins, Ashlynn","78","97","1.24","22","244",".910","0.28","0","0","0","0.00","0","0","View Bio"
"3","Brunt, Brooklyn                                              3Brunt, Brooklyn","49","11","0.22","0","2","1.000","0.00","6","12","18.0","0.37","7","0","View Bio"
"4","Rambo, Jadyn                                              4Rambo, Jadyn","43","12","0.28","2","16",".875","0.05","1","8","9.0","0.21","3","0","View Bio"
"5","Edwards, Lyric                                             5Edwards, Lyric","65","24","0.37","0","5","1.000","0.00","3","27","30.0","0.46","3","0","View Bio"
"6","Moore, Aniyah                                             6Moore, Aniyah","57","10","0.18","0","5","1.000","0.00","5","32","37.0","0.65","5","1","View Bio"
"7","Clemons, Toni                                             7Clemons, Toni","19","0","0.00","0","0",".000","0.00","0","9","9.0","0.47","3","0","View Bio"
"8","Franco, Leticia                                             8Franco, Leticia","78","134","1.72","1","6",".833","0.01","0","0","0","0.00","0","3","View Bio"
"9","Giron, Torre                                             9Giron, Torre","18","12","0.67","6","56",".893","0.33","0","0","0","0.00","0","0","View Bio"
"10","Conley, Madison                                             10Conley, Madison","24","7","0.29","1","6",".833","0.04","0","12","12.0","0.50","4","0","View Bio"
"11","Rhodes, Alaya                                             11Rhodes, Alaya","74","161","2.18","17","407",".958","0.23","5","25","30.0","0.41","1","1","View Bio"
"12","Franco, Mariana                                             12Franco, Mariana","77","114","1.48","11","276",".960","0.14","0","0","0","0.00","0","0","View Bio"
"13","Jones, Carmella                                             13Jones, Carmella","63","20","0.32","0","8","1.000","0.00","2","20","22.0","0.35","4","0","View Bio"
"14","Pinesette, Dashaun                                              14Pinesette, Dashaun","70","124","1.77","34","406",".916","0.49","0","2","2.0","0.03","0","2","View Bio"
"15","Calvert, Jaazaniah                                             15Calvert, Jaazaniah","25","10","0.40","0","1","1.000","0.00","0","7","7.0","0.28","1","0","View Bio"
"17","Archer, Carrington                                             17Archer, Carrington","74","84","1.14","1","7",".857","0.01","0","0","0","0.00","0","4","View Bio"
"19","Wooten, Taylor                                             19Wooten, Taylor","62","33","0.53","11","179",".939","0.18","2","13","15.0","0.24","4","0","View Bio"
"","Total","78","853","10.94","144","1624",".911","1.85","24","167","107.5","1.38","35","11",""
"","Opponents","78","1003","12.86","97","1231",".921","1.24","44","162","125.0","1.60","14","4",""
