"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Hawkins, Ashlynn                                             1Hawkins, Ashlynn","78","24","0","7.0","0.09","0","0.00","3","14","-.214","26","0.33","7","0.09","6","View Bio"
"3","Brunt, Brooklyn                                              3Brunt, Brooklyn","49","22","6","89.0","1.82","77","1.57","56","222",".095","1","0.02","0","0.00","0","View Bio"
"4","Rambo, Jadyn                                              4Rambo, Jadyn","43","22","2","52.0","1.21","45","1.05","31","162",".086","2","0.05","2","0.05","0","View Bio"
"5","Edwards, Lyric                                             5Edwards, Lyric","65","24","23","117.5","1.81","93","1.43","48","259",".174","4","0.06","8","0.12","20","View Bio"
"6","Moore, Aniyah                                             6Moore, Aniyah","57","24","20","69.0","1.21","48","0.84","17","129",".240","1","0.02","0","0.00","0","View Bio"
"7","Clemons, Toni                                             7Clemons, Toni","19","13","2","14.5","0.76","10","0.53","9","43",".023","1","0.05","0","0.00","2","View Bio"
"8","Franco, Leticia                                             8Franco, Leticia","78","24","19","20.0","0.26","1","0.01","8","38","-.184","290","3.72","19","0.24","45","View Bio"
"9","Giron, Torre                                             9Giron, Torre","18","10","1","12.0","0.67","10","0.56","17","48","-.146","0","0.00","2","0.11","3","View Bio"
"10","Conley, Madison                                             10Conley, Madison","24","17","3","20.0","0.83","14","0.58","16","50","-.040","1","0.04","0","0.00","4","View Bio"
"11","Rhodes, Alaya                                             11Rhodes, Alaya","74","24","23","224.5","3.03","189","2.55","112","506",".152","13","0.18","18","0.24","26","View Bio"
"12","Franco, Mariana                                             12Franco, Mariana","77","24","0","9.0","0.12","0","0.00","3","12","-.250","29","0.38","9","0.12","10","View Bio"
"13","Jones, Carmella                                             13Jones, Carmella","63","24","13","81.0","1.29","69","1.10","50","263",".072","1","0.02","0","0.00","0","View Bio"
"14","Pinesette, Dashaun                                              14Pinesette, Dashaun","70","24","15","80.0","1.14","71","1.01","39","216",".148","10","0.14","8","0.11","19","View Bio"
"15","Calvert, Jaazaniah                                             15Calvert, Jaazaniah","25","17","2","21.5","0.86","18","0.72","21","99","-.030","2","0.08","0","0.00","0","View Bio"
"17","Archer, Carrington                                             17Archer, Carrington","74","23","5","24.0","0.32","4","0.05","3","45",".022","254","3.43","20","0.27","25","View Bio"
"19","Wooten, Taylor                                             19Wooten, Taylor","62","24","10","75.5","1.22","63","1.02","49","272",".051","14","0.23","4","0.06","3","View Bio"
"","Total","78","24","","916.5","11.75","712","9.13","482","2378",".097","649","8.32","97","1.24","163",""
"","Opponents","78","24","","1,245.0","15.96","975","12.50","372","2415",".250","881","11.29","145","1.86","151",""
