"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"2","Hickey, Kendall                                             2Hickey, Kendall","113","335","2.96","18","406",".956","0.16","0","0","0","0.00","0","0","View Bio"
"3","Brown, Gentry                                             3Brown, Gentry","107","248","2.32","39","578",".933","0.36","5","32","37.0","0.35","0","3","View Bio"
"4","Kildow, Torre                                             4Kildow, Torre","99","56","0.57","13","137",".905","0.13","4","25","29.0","0.29","0","1","View Bio"
"5","Long, Mady                                             5Long, Mady","91","185","2.03","16","553",".971","0.18","0","4","4.0","0.04","2","1","View Bio"
"6","Curran, Caroline                                             6Curran, Caroline","80","138","1.73","16","320",".950","0.20","0","0","0","0.00","0","0","View Bio"
"9","Grissett, Lexi                                             9Grissett, Lexi","60","35","0.58","0","2","1.000","0.00","0","0","0","0.00","0","0","View Bio"
"10","Rogers, Leah                                             10Rogers, Leah","9","2","0.22","0","0",".000","0.00","1","5","6.0","0.67","0","0","View Bio"
"11","Waddell, Emily                                             11Waddell, Emily","120","57","0.48","0","12","1.000","0.00","10","96","106.0","0.88","5","0","View Bio"
"12","White, Kendall                                             12White, Kendall","102","163","1.60","1","3",".667","0.01","3","41","44.0","0.43","0","1","View Bio"
"13","Janke, Bryn                                             13Janke, Bryn","93","130","1.40","0","1","1.000","0.00","1","2","3.0","0.03","0","0","View Bio"
"15","Evans, Sierra                                             15Evans, Sierra","84","12","0.14","0","0",".000","0.00","10","38","48.0","0.57","2","0","View Bio"
"16","Ricketts, Darbi                                             16Ricketts, Darbi","117","162","1.38","5","286",".983","0.04","0","3","3.0","0.03","0","1","View Bio"
"17","Blair, Bailey                                             17Blair, Bailey","120","90","0.75","7","87",".920","0.06","8","43","51.0","0.43","0","0","View Bio"
"23","Gardner, Olivia                                             23Gardner, Olivia","78","33","0.42","0","1","1.000","0.00","6","23","29.0","0.37","1","0","View Bio"
"","Total","120","1646","13.72","148","2386",".938","1.23","48","312","204.0","1.70","10","7",""
"","Opponents","120","1630","13.58","200","2150",".907","1.67","52","363","233.5","1.95","20","5",""
