"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"2","Hickey, Kendall                                             2Hickey, Kendall","113","31","0","5.0","0.04","2","0.02","1","14",".071","113","1.00","3","0.03","2","View Bio"
"3","Brown, Gentry                                             3Brown, Gentry","107","30","28","302.0","2.82","260","2.43","181","853",".093","18","0.17","21","0.20","39","View Bio"
"4","Kildow, Torre                                             4Kildow, Torre","99","29","7","260.5","2.63","242","2.44","117","693",".180","9","0.09","2","0.02","9","View Bio"
"5","Long, Mady                                             5Long, Mady","91","26","22","162.0","1.78","128","1.41","68","366",".164","15","0.16","32","0.35","60","View Bio"
"6","Curran, Caroline                                             6Curran, Caroline","80","24","2","13.0","0.16","1","0.01","0","2",".500","12","0.15","12","0.15","39","View Bio"
"9","Grissett, Lexi                                             9Grissett, Lexi","60","20","0","14.0","0.23","0","0.00","0","0","0","71","1.18","14","0.23","17","View Bio"
"10","Rogers, Leah                                             10Rogers, Leah","9","7","1","10.5","1.17","7","0.78","3","10",".400","0","0.00","0","0.00","1","View Bio"
"11","Waddell, Emily                                             11Waddell, Emily","120","31","31","305.0","2.54","215","1.79","77","520",".265","6","0.05","32","0.27","39","View Bio"
"12","White, Kendall                                             12White, Kendall","102","27","12","80.5","0.79","52","0.51","14","155",".245","670","6.57","5","0.05","8","View Bio"
"13","Janke, Bryn                                             13Janke, Bryn","93","26","19","38.0","0.41","5","0.05","3","27",".074","470","5.05","31","0.33","43","View Bio"
"15","Evans, Sierra                                             15Evans, Sierra","84","24","22","143.0","1.70","114","1.36","32","284",".289","0","0.00","0","0.00","0","View Bio"
"16","Ricketts, Darbi                                             16Ricketts, Darbi","117","31","5","42.5","0.36","9","0.08","12","43","-.070","30","0.26","32","0.27","55","View Bio"
"17","Blair, Bailey                                             17Blair, Bailey","120","31","27","405.5","3.38","360","3.00","159","884",".227","7","0.06","16","0.13","52","View Bio"
"23","Gardner, Olivia                                             23Gardner, Olivia","78","23","10","172.5","2.21","155","1.99","56","424",".233","6","0.08","0","0.00","0","View Bio"
"","Total","120","31","","1,954.0","16.28","1550","12.92","723","4275",".193","1427","11.89","200","1.67","364",""
"","Opponents","120","31","","1,734.5","14.45","1353","11.28","523","3790",".219","1241","10.34","148","1.23","241",""
