"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"2","Giusta, Leilani-kai","70","151","2.16","19","447",".957","0.27","3","13","16.0","0.23","3","0"
"4","Baum, Yasmina","2","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0"
"7","Gunes, Yagmur","108","311","2.88","32","691",".954","0.30","9","22","31.0","0.29","2","1"
"8","Silva, Milena","117","34","0.29","3","11",".727","0.03","16","84","100.0","0.85","10","0"
"9","Negron Diaz, Carola","101","344","3.41","23","429",".946","0.23","0","0","0","0.00","0","1"
"10","Tonelli, Vittoria","61","113","1.85","22","343",".936","0.36","5","9","14.0","0.23","1","2"
"11","Belli, Asia","115","63","0.55","1","9",".889","0.01","12","50","62.0","0.54","1","0"
"13","Turhan, Tuana","11","1","0.09","0","1","1.000","0.00","1","2","3.0","0.27","0","0"
"14","Olszewska, Klara","32","28","0.88","0","1","1.000","0.00","1","7","8.0","0.25","1","0"
"16","Giovagnoni, Ginevra","42","94","2.24","7","190",".963","0.17","0","5","5.0","0.12","1","0"
"17","Giacomini, Elena","118","326","2.76","1","7",".857","0.01","6","46","52.0","0.44","2","2"
"18","Gunes, Damla","112","294","2.63","0","8","1.000","0.00","1","28","29.0","0.26","6","1"
"19","Ozbiltekin, Azra","9","0","0.00","0","0",".000","0.00","0","1","1.0","0.11","0","0"
"20","Ozbiltekin, Sahra","28","72","2.57","4","106",".962","0.14","1","0","1.0","0.04","0","0"
"23","Skenderi, Cynthia","3","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0"
"Total","","116","1831","15.78","147","2243",".934","1.27","55","267","188.5","1.63","27","7"
"","","117","1654","14.14","218","2401",".909","1.86","85","494","332.0","2.84","32","5"
