"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"2","Giusta, Leilani-kai","70","21","14","195.5","2.79","173","2.47","103","447",".157","10","0.14","13","0.19","30"
"4","Baum, Yasmina","2","2","0","0","0.00","0","0.00","0","0",".000","0","0.00","0","0.00","0"
"7","Gunes, Yagmur","108","30","29","426.0","3.94","373","3.45","165","1104",".188","22","0.20","33","0.31","38"
"8","Silva, Milena","117","31","31","182.0","1.56","123","1.05","44","276",".286","12","0.10","1","0.01","0"
"9","Negron Diaz, Carola","101","27","1","25.0","0.25","2","0.02","3","30","-.033","123","1.22","23","0.23","20"
"10","Tonelli, Vittoria","61","23","9","140.5","2.30","126","2.07","78","384",".125","9","0.15","5","0.08","32"
"11","Belli, Asia","115","30","30","207.0","1.80","136","1.18","46","310",".290","14","0.12","34","0.30","17"
"13","Turhan, Tuana","11","7","1","9.0","0.82","6","0.55","2","13",".308","1","0.09","1","0.09","2"
"14","Olszewska, Klara","32","18","0","16.5","0.52","7","0.22","3","24",".167","152","4.75","5","0.16","8"
"16","Giovagnoni, Ginevra","42","17","7","95.5","2.27","81","1.93","38","221",".195","12","0.29","12","0.29","6"
"17","Giacomini, Elena","118","31","31","573.0","4.86","502","4.25","249","1420",".178","22","0.19","42","0.36","59"
"18","Gunes, Damla","112","31","31","90.0","0.80","34","0.30","11","119",".193","1081","9.65","41","0.37","17"
"19","Ozbiltekin, Azra","9","8","0","6.5","0.72","4","0.44","7","14","-.214","0","0.00","2","0.22","5"
"20","Ozbiltekin, Sahra","28","11","2","17.0","0.61","10","0.36","11","40","-.025","12","0.43","6","0.21","8"
"23","Skenderi, Cynthia","3","2","0","0","0.00","0","0.00","0","0",".000","0","0.00","0","0.00","0"
"Total","","116","31","","1,983.5","17.10","1577","13.59","760","4402",".186","1470","12.67","218","1.88","242"
"","","117","31","","1,757.0","15.02","1278","10.92","627","4069",".160","1162","9.93","147","1.26","226"
