"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Szymanski, Lexi                                             1Szymanski, Lexi","31","40","1.29","4","59",".932","0.13","0","0","0","0.00","0","0","View Bio"
"3","Martin, Delaney                                             3Martin, Delaney","100","194","1.94","52","519",".900","0.52","3","13","16.0","0.16","0","2","View Bio"
"4","Reese, Abby                                             4Reese, Abby","89","187","2.10","2","19",".895","0.02","4","22","26.0","0.29","1","0","View Bio"
"5","Rudge, Shannon                                             5Rudge, Shannon","104","280","2.69","47","575",".918","0.45","1","18","19.0","0.18","0","1","View Bio"
"7","Beeler, Brooklyn                                             7Beeler, Brooklyn","1","0","0.00","1","2",".500","1.00","0","0","0","0.00","0","0","View Bio"
"8","Lewkowski, Kalli                                             8Lewkowski, Kalli","97","39","0.40","2","26",".923","0.02","6","30","36.0","0.37","4","0","View Bio"
"9","Fegan, Karli                                             9Fegan, Karli","102","392","3.84","46","609",".924","0.45","0","0","0","0.00","0","0","View Bio"
"10","Carens, Caroline                                             10Carens, Caroline","104","58","0.56","2","12",".833","0.02","32","68","100.0","0.96","6","0","View Bio"
"11","Braselton, Grace                                             11Braselton, Grace","97","57","0.59","1","33",".970","0.01","6","34","40.0","0.41","5","2","View Bio"
"12","Taitano, Maddie                                             12Taitano, Maddie","40","47","1.18","1","7",".857","0.03","1","17","18.0","0.45","2","0","View Bio"
"13","Graczyk, Giuliana                                             13Graczyk, Giuliana","104","207","1.99","0","9","1.000","0.00","0","0","0","0.00","1","1","View Bio"
"14","Aalfs, Chloe                                             14Aalfs, Chloe","5","12","2.40","2","25",".920","0.40","0","0","0","0.00","0","0","View Bio"
"15","Rigan, Katerina                                             15Rigan, Katerina","1","0","0.00","0","2","1.000","0.00","0","0","0","0.00","0","0","View Bio"
"16","Funk, Jane                                             16Funk, Jane","1","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0","View Bio"
"","Total","104","1513","14.55","218","1897",".885","2.10","53","202","154.0","1.48","19","6",""
"","Opponents","104","1569","15.09","179","1944",".908","1.72","70","240","190.0","1.83","18","3",""
