"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Szymanski, Lexi                                             1Szymanski, Lexi","31","14","0","8.0","0.26","2","0.06","10","26","-.308","7","0.23","6","0.19","7","View Bio"
"3","Martin, Delaney                                             3Martin, Delaney","100","27","27","204.5","2.05","173","1.73","76","638",".152","49","0.49","22","0.22","30","View Bio"
"4","Reese, Abby                                             4Reese, Abby","89","24","19","92.0","1.03","65","0.73","35","319",".094","345","3.88","12","0.13","38","View Bio"
"5","Rudge, Shannon                                             5Rudge, Shannon","104","27","27","259.0","2.49","220","2.12","102","700",".169","61","0.59","29","0.28","13","View Bio"
"7","Beeler, Brooklyn                                             7Beeler, Brooklyn","1","1","0","0","0.00","0","0.00","0","0","0","0","0.00","0","0.00","1","View Bio"
"8","Lewkowski, Kalli                                             8Lewkowski, Kalli","97","25","25","255.0","2.63","218","2.25","65","577",".265","5","0.05","16","0.16","12","View Bio"
"9","Fegan, Karli                                             9Fegan, Karli","102","27","0","29.0","0.28","0","0.00","3","23","-.130","12","0.12","29","0.28","19","View Bio"
"10","Carens, Caroline                                             10Carens, Caroline","104","27","27","389.0","3.74","315","3.03","104","675",".313","9","0.09","8","0.08","11","View Bio"
"11","Braselton, Grace                                             11Braselton, Grace","97","26","6","169.0","1.74","145","1.49","74","464",".153","4","0.04","1","0.01","1","View Bio"
"12","Taitano, Maddie                                             12Taitano, Maddie","40","15","4","55.5","1.39","40","1.00","19","117",".179","77","1.93","6","0.15","5","View Bio"
"13","Graczyk, Giuliana                                             13Graczyk, Giuliana","104","27","27","59.0","0.57","11","0.11","4","70",".100","543","5.22","48","0.46","35","View Bio"
"14","Aalfs, Chloe                                             14Aalfs, Chloe","5","3","0","6.0","1.20","4","0.80","3","17",".059","1","0.20","2","0.40","1","View Bio"
"15","Rigan, Katerina                                             15Rigan, Katerina","1","1","0","0","0.00","0","0.00","0","0","0","0","0.00","0","0.00","0","View Bio"
"16","Funk, Jane                                             16Funk, Jane","1","1","0","0","0.00","0","0.00","0","0","0","0","0.00","0","0.00","0","View Bio"
"","Total","104","27","","1,526.0","14.67","1193","11.47","495","3626",".192","1113","10.70","179","1.72","173",""
"","Opponents","104","27","","1,681.0","16.16","1273","12.24","601","3651",".184","1192","11.46","218","2.10","210",""
