"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Hinshaw, Macy                                             1Hinshaw, Macy","115","299","2.60","0","9","1.000","0.00","2","29","31.0","0.27","1","2","View Bio"
"2","Grieve, Kaia                                             2Grieve, Kaia","1","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0","View Bio"
"3","Brown, Danielle                                              3Brown, Danielle","1","0","0.00","0","1","1.000","0.00","0","0","0","0.00","0","0","View Bio"
"4","Veargason, Amy                                             4Veargason, Amy","26","3","0.12","0","0",".000","0.00","0","2","2.0","0.08","1","0","View Bio"
"6","Flanagan, Grace                                             6Flanagan, Grace","115","30","0.26","0","2","1.000","0.00","18","76","94.0","0.82","3","0","View Bio"
"8","Eimer, Alyssa                                             8Eimer, Alyssa","69","32","0.46","4","72",".944","0.06","0","0","0","0.00","0","0","View Bio"
"9","Aslayan, Selin                                             9Aslayan, Selin","99","91","0.92","24","352",".932","0.24","8","23","31.0","0.31","5","0","View Bio"
"10","Reilly, Ashlynn                                             10Reilly, Ashlynn","106","131","1.24","23","343",".933","0.22","1","0","1.0","0.01","0","0","View Bio"
"11","Trapani, Lexi                                             11Trapani, Lexi","115","450","3.91","18","505",".964","0.16","0","0","0","0.00","0","0","View Bio"
"14","Shanahan, Cate                                             14Shanahan, Cate","115","202","1.76","38","413",".908","0.33","7","20","27.0","0.23","5","0","View Bio"
"16","Truitt, Layla                                             16Truitt, Layla","115","39","0.34","0","12","1.000","0.00","14","69","83.0","0.72","8","0","View Bio"
"18","Newell, Hailey                                             18Newell, Hailey","39","9","0.23","0","0",".000","0.00","0","0","0","0.00","0","0","View Bio"
"20","Hayes, Morgan                                             20Hayes, Morgan","107","61","0.57","1","20",".950","0.01","4","61","65.0","0.61","7","1","View Bio"
"22","Kapihe, Tia                                             22Kapihe, Tia","98","122","1.24","26","442",".941","0.27","4","10","14.0","0.14","4","0","View Bio"
"","Total","115","1469","12.77","162","2171",".925","1.41","58","290","203.0","1.77","34","3",""
"","Opponents","115","1365","11.87","174","2207",".921","1.51","59","359","238.5","2.07","37","3",""
