"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Hinshaw, Macy                                             1Hinshaw, Macy","115","29","29","87.5","0.76","55","0.48","11","150",".293","1154","10.03","16","0.14","9","View Bio"
"2","Grieve, Kaia                                             2Grieve, Kaia","1","1","0","0","0.00","0","0.00","2","3","-.667","0","0.00","0","0.00","0","View Bio"
"3","Brown, Danielle                                              3Brown, Danielle","1","1","0","1.0","1.00","1","1.00","0","2",".500","0","0.00","0","0.00","0","View Bio"
"4","Veargason, Amy                                             4Veargason, Amy","26","15","0","7.0","0.27","6","0.23","1","12",".417","0","0.00","0","0.00","0","View Bio"
"6","Flanagan, Grace                                             6Flanagan, Grace","115","29","27","284.0","2.47","218","1.90","53","528",".313","4","0.03","10","0.09","16","View Bio"
"8","Eimer, Alyssa                                             8Eimer, Alyssa","69","24","2","10.0","0.14","1","0.01","1","3",".000","5","0.07","9","0.13","16","View Bio"
"9","Aslayan, Selin                                             9Aslayan, Selin","99","28","18","243.5","2.46","194","1.96","119","589",".127","7","0.07","30","0.30","46","View Bio"
"10","Reilly, Ashlynn                                             10Reilly, Ashlynn","106","29","6","33.0","0.31","1","0.01","1","3",".000","30","0.28","31","0.29","46","View Bio"
"11","Trapani, Lexi                                             11Trapani, Lexi","115","29","0","40.0","0.35","4","0.03","1","14",".214","124","1.08","36","0.31","55","View Bio"
"14","Shanahan, Cate                                             14Shanahan, Cate","115","29","29","410.0","3.57","372","3.23","183","1014",".186","21","0.18","21","0.18","32","View Bio"
"16","Truitt, Layla                                             16Truitt, Layla","115","29","29","344.5","3.00","287","2.50","91","607",".323","13","0.11","9","0.08","11","View Bio"
"18","Newell, Hailey                                             18Newell, Hailey","39","20","0","4.0","0.10","0","0.00","0","1",".000","11","0.28","4","0.10","4","View Bio"
"20","Hayes, Morgan                                             20Hayes, Morgan","107","28","20","293.5","2.74","259","2.42","106","561",".273","3","0.03","0","0.00","0","View Bio"
"22","Kapihe, Tia                                             22Kapihe, Tia","98","27","14","104.0","1.06","87","0.89","73","296",".047","8","0.08","8","0.08","15","View Bio"
"","Total","115","29","","1,862.0","16.19","1485","12.91","642","3783",".223","1380","12.00","174","1.51","250",""
"","Opponents","115","29","","1,760.5","15.31","1360","11.83","537","3623",".227","1248","10.85","162","1.41","246",""
