"","","","Dig","","","Receptions","","Blocks","","","","",""
"#","","SP","DIG","DIG/S","RE","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Anae Asuncion","60","65","1.08","0","0.00","0","0","0","0.00","0","0"
"2","Elif Teksoy","74","102","1.38","1","0.01","2","14","16","0.22","4","2"
"4","Alohalani Chun","4","0","0.00","0","0.00","0","0","0","0.00","0","0"
"5","Adee Butler","72","78","1.08","23","0.32","4","14","18","0.25","0","0"
"6","Teagan Melton","114","46","0.40","0","0.00","2","55","57","0.50","4","0"
"8","Madyn Cervellera","114","261","2.29","23","0.20","7","34","41","0.36","8","0"
"10","Grace Jones","97","130","1.34","0","0.00","0","0","0","0.00","0","0"
"11","Petra Fritz","102","180","1.76","44","0.43","0","12","12","0.12","0","1"
"12","Marley Hardgrave","113","28","0.25","0","0.00","13","69","82","0.73","9","0"
"15","Tiana Mariner","37","37","1.00","18","0.49","0","0","0","0.00","0","0"
"16","Yasemin Elmas","111","49","0.44","1","0.01","17","79","96","0.86","7","1"
"17","Kaitlyn Gotsch","18","3","0.17","0","0.00","4","9","13","0.72","0","0"
"18","Taniyah Pruitt","49","8","0.16","0","0.00","14","40","54","1.10","6","1"
"22","Katelynn Albano","113","277","2.45","57","0.50","0","0","0","0.00","0","0"
"Totals","","114","1264","11.09","199","1.75","63","326","226","1.98","38","5"
"Opponents","","114","1364","11.96","182","1.60","86","370","271","2.38","33","4"
