"","","","","","","","Attack","","","","","Set","","Serve","",""
"#","","SP","MP","MS","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Anae Asuncion","60","18","0","18.0","0.30","8","0.13","1","24",".292","226","3.77","10","0.17","21"
"2","Elif Teksoy","74","22","18","41.0","0.55","18","0.24","9","68",".132","532","7.19","14","0.19","25"
"4","Alohalani Chun","4","2","1","2.0","0.50","2","0.50","0","5",".400","0","0.00","0","0.00","0"
"5","Adee Butler","72","26","4","124.0","1.72","108","1.50","74","393",".087","12","0.17","5","0.07","9"
"6","Teagan Melton","114","29","17","242.5","2.13","213","1.87","101","537",".209","3","0.03","0","0.00","0"
"8","Madyn Cervellera","114","29","29","426.0","3.74","378","3.32","222","1052",".148","17","0.15","24","0.21","28"
"10","Grace Jones","97","27","18","31.0","0.32","9","0.09","4","25",".200","243","2.50","22","0.23","39"
"11","Petra Fritz","102","29","24","247.0","2.42","193","1.89","131","529",".117","20","0.20","48","0.47","59"
"12","Marley Hardgrave","113","29","18","178.5","1.58","131","1.16","48","355",".234","3","0.03","0","0.00","0"
"15","Tiana Mariner","37","16","1","1.0","0.03","0","0.00","0","5",".000","5","0.14","1","0.03","5"
"16","Yasemin Elmas","111","29","28","251.5","2.27","168","1.51","59","398",".274","7","0.06","27","0.24","25"
"17","Kaitlyn Gotsch","18","7","4","9.5","0.53","1","0.06","2","9","-.111","1","0.06","0","0.00","0"
"18","Taniyah Pruitt","49","12","12","80.0","1.63","46","0.94","20","121",".215","1","0.02","0","0.00","0"
"22","Katelynn Albano","113","29","0","31.0","0.27","0","0.00","1","12","-.083","84","0.74","31","0.27","38"
"Totals","","114","29","0","1683.0","14.76","1275","11.18","672","3533",".171","1154","10.12","182","1.60","249"
"Opponents","","114","29","0","1880.0","16.49","1410","12.37","535","3447",".254","1284","11.26","199","1.75","263"
