"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"5","Labanowska, Hanna","82","127","1.55","57","541",".895","0.70","1","11","12.0","0.15","4","0"
"6","Carr, Rowan","52","111","2.13","31","325",".905","0.60","1","7","8.0","0.15","0","0"
"7","Subasili, Asli","99","48","0.48","2","29",".931","0.02","14","72","86.0","0.87","0","1"
"8","Opland, Alexis","69","58","0.84","0","2","1.000","0.00","0","18","18.0","0.26","2","0"
"9","Papadakos, Loukia","26","4","0.15","2","5",".600","0.08","0","16","16.0","0.62","2","0"
"11","Nelson, Rylee","85","320","3.76","19","321",".941","0.22","0","0","0","0.00","0","0"
"13","Loiselle, Maddy","63","30","0.48","1","7",".857","0.02","3","25","28.0","0.44","2","0"
"14","Fuller, Emilee","89","150","1.69","2","15",".867","0.02","0","1","1.0","0.01","0","0"
"15","Adler, Gwen","67","157","2.34","0","2","1.000","0.00","1","7","8.0","0.12","0","0"
"16","Roberts-Navarro, Senna","34","67","1.97","14","192",".927","0.41","1","14","15.0","0.44","2","0"
"18","Reich, Sadie","83","155","1.87","36","443",".919","0.43","2","24","26.0","0.31","2","2"
"20","Safian, Daria","91","58","0.64","15","103",".854","0.16","1","35","36.0","0.40","4","0"
"22","Rasmussen, Alex","81","13","0.16","1","8",".875","0.01","4","60","64.0","0.79","3","0"
"Total","","100","1298","12.98","218","1993",".891","2.18","28","290","173.0","1.73","21","3"
"","","100","1407","14.07","143","1769",".919","1.43","33","382","224.0","2.24","34","1"
