"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"5","Labanowska, Hanna","82","24","15","100.5","1.23","75","0.91","61","305",".046","29","0.35","19","0.23","37"
"6","Carr, Rowan","52","18","7","57.5","1.11","43","0.83","24","131",".145","19","0.37","10","0.19","18"
"7","Subasili, Asli","99","27","27","210.0","2.12","135","1.36","66","357",".193","16","0.16","25","0.25","59"
"8","Opland, Alexis","69","23","8","34.0","0.49","18","0.26","10","63",".127","214","3.10","7","0.10","2"
"9","Papadakos, Loukia","26","9","6","30.0","1.15","22","0.85","11","78",".141","3","0.12","0","0.00","0"
"11","Nelson, Rylee","85","23","0","17.0","0.20","3","0.04","0","9",".333","106","1.25","14","0.16","26"
"13","Loiselle, Maddy","63","17","11","120.5","1.91","105","1.67","32","285",".256","4","0.06","0","0.00","0"
"14","Fuller, Emilee","89","25","9","39.5","0.44","19","0.21","4","51",".294","244","2.74","20","0.22","32"
"15","Adler, Gwen","67","20","17","46.5","0.69","32","0.48","7","76",".329","367","5.48","10","0.15","27"
"16","Roberts-Navarro, Senna","34","9","7","105.0","3.09","86","2.53","28","256",".227","18","0.53","11","0.32","11"
"18","Reich, Sadie","83","22","21","314.0","3.78","286","3.45","121","831",".199","16","0.19","14","0.17","23"
"20","Safian, Daria","91","25","15","244.5","2.69","213","2.34","104","611",".178","8","0.09","13","0.14","22"
"22","Rasmussen, Alex","81","22","19","126.0","1.56","92","1.14","55","255",".145","6","0.07","0","0.00","6"
"Total","","100","27","","1,445.0","14.45","1129","11.29","523","3308",".183","1050","10.50","143","1.43","263"
"","","100","27","","1,728.0","17.28","1286","12.86","469","3295",".248","1210","12.10","218","2.18","269"
