"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"2","White, Kendall","46","21","0.46","0","4","1.000","0.00","1","23","24.0","0.52","1","1"
"3","Jones, Erin","108","269","2.49","9","104",".913","0.08","2","33","35.0","0.32","1","2"
"4","Capponcelli, Martina","91","119","1.31","0","1","1.000","0.00","3","11","14.0","0.15","4","3"
"5","Franca Benjamim, Ana","73","109","1.49","30","276",".891","0.41","0","3","3.0","0.04","0","2"
"6","Zola, Ludovica","84","22","0.26","0","6","1.000","0.00","7","46","53.0","0.63","6","0"
"7","Parker, Ella","74","40","0.54","4","9",".556","0.05","4","18","22.0","0.30","5","2"
"8","Clayton, Shiloh","56","17","0.30","10","74",".865","0.18","0","0","0","0.00","0","0"
"9","Solano Smith, Rashanny","108","443","4.10","35","440",".920","0.32","0","0","0","0.00","0","0"
"10","Costa dos Santos, Barbara","53","42","0.79","14","169",".917","0.26","1","3","4.0","0.08","2","0"
"14","Bell, Chloe","108","33","0.31","1","5",".800","0.01","12","67","79.0","0.73","10","0"
"15","Lodi, Lucrezia","63","63","1.00","28","268",".896","0.44","2","9","11.0","0.17","2","0"
"16","Ghezzi, Martina","87","190","2.18","46","728",".937","0.53","8","14","22.0","0.25","3","0"
"22","Harris, Kya","98","9","0.09","1","8",".875","0.01","11","59","70.0","0.71","7","2"
"Total","","108","1377","12.75","205","2092",".902","1.90","51","286","194.0","1.80","41","12"
"","","108","1361","12.60","176","1963",".910","1.63","55","466","288.0","2.67","26","4"
