"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"2","White, Kendall","46","14","1","76.5","1.66","64","1.39","49","233",".064","3","0.07","0","0.00","0"
"3","Jones, Erin","108","29","29","351.5","3.25","294","2.72","118","722",".244","532","4.93","39","0.36","47"
"4","Capponcelli, Martina","91","26","18","56.5","0.62","22","0.24","13","72",".125","464","5.10","26","0.29","32"
"5","Franca Benjamim, Ana","73","25","8","65.5","0.90","55","0.75","49","234",".026","22","0.30","9","0.12","12"
"6","Zola, Ludovica","84","27","16","94.0","1.12","58","0.69","26","178",".180","5","0.06","6","0.07","7"
"7","Parker, Ella","74","21","14","203.0","2.74","175","2.36","102","479",".152","3","0.04","15","0.20","18"
"8","Clayton, Shiloh","56","21","2","13.0","0.23","0","0.00","0","0",".000","3","0.05","13","0.23","12"
"9","Solano Smith, Rashanny","108","29","0","32.0","0.30","2","0.02","1","11",".091","108","1.00","30","0.28","43"
"10","Costa dos Santos, Barbara","53","21","3","26.5","0.50","20","0.38","20","74",".000","2","0.04","4","0.08","10"
"14","Bell, Chloe","108","29","28","227.5","2.11","172","1.59","87","417",".204","12","0.11","10","0.09","12"
"15","Lodi, Lucrezia","63","20","8","45.5","0.72","33","0.52","36","153","-.020","9","0.14","6","0.10","10"
"16","Ghezzi, Martina","87","26","22","275.0","3.16","242","2.78","111","692",".189","9","0.10","18","0.21","16"
"22","Harris, Kya","98","29","25","143.5","1.46","103","1.05","32","263",".270","4","0.04","0","0.00","0"
"Total","","108","29","","1,610.0","14.91","1240","11.48","644","3528",".169","1176","10.89","176","1.63","219"
"","","108","29","","1,790.0","16.57","1297","12.01","464","3360",".248","1201","11.12","205","1.90","281"
