"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Wakatake, Kailee                                             1Wakatake, Kailee","59","90","1.53","13","196",".934","0.22","0","0","0","0.00","0","0","View Bio"
"4","Hiebert, Sara                                             4Hiebert, Sara","10","1","0.10","0","0",".000","0.00","1","4","5.0","0.50","0","0","View Bio"
"5","Sullivan, Sarah                                             5Sullivan, Sarah","98","140","1.43","16","160",".900","0.16","5","36","41.0","0.42","6","2","View Bio"
"6","Smith, Gabrielle                                             6Smith, Gabrielle","90","52","0.58","0","13","1.000","0.00","18","44","62.0","0.69","6","1",""
"9","Greer, Kiana                                             9Greer, Kiana","101","264","2.61","31","601",".948","0.31","4","22","26.0","0.26","3","1","View Bio"
"11","Makaula, Koen                                             11Makaula, Koen","106","82","0.77","0","13","1.000","0.00","17","71","88.0","0.83","12","1","View Bio"
"12","Trefren, Kyriah                                             12Trefren, Kyriah","95","291","3.06","35","483",".928","0.37","0","0","0","0.00","0","0","View Bio"
"13","Gennari, Chiara                                             13Gennari, Chiara","75","40","0.53","1","2",".500","0.01","2","31","33.0","0.44","6","0","View Bio"
"14","White, Cayton                                             14White, Cayton","97","203","2.09","35","535",".935","0.36","3","13","16.0","0.16","4","0","View Bio"
"15","Fontes, Madu                                             15Fontes, Madu","30","14","0.47","2","50",".960","0.07","4","2","6.0","0.20","1","0","View Bio"
"16","Isik, Ada                                              16Isik, Ada","51","98","1.92","6","98",".939","0.12","0","0","0","0.00","0","0","View Bio"
"20","Whitman, Zuzanna                                             20Whitman, Zuzanna","24","7","0.29","0","7","1.000","0.00","3","8","11.0","0.46","3","0","View Bio"
"21","Krakoczki, Csenge                                             21Krakoczki, Csenge","79","146","1.85","0","5","1.000","0.00","1","19","20.0","0.25","4","1","View Bio"
"23","Manaois, Aleina                                             23Manaois, Aleina","69","145","2.10","0","2","1.000","0.00","0","8","8.0","0.12","0","1","View Bio"
"","Total","106","1573","14.84","177","2165",".918","1.67","58","258","187.0","1.76","45","7",""
"","Opponents","106","1565","14.76","134","2072",".935","1.26","59","388","253.0","2.39","48","7",""
