"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Wakatake, Kailee                                             1Wakatake, Kailee","59","22","2","6.0","0.10","0","0.00","1","1","-1.000","11","0.19","6","0.10","9","View Bio"
"4","Hiebert, Sara                                             4Hiebert, Sara","10","4","0","3.0","0.30","0","0.00","1","3","-.333","0","0.00","0","0.00","0","View Bio"
"5","Sullivan, Sarah                                             5Sullivan, Sarah","98","27","18","192.0","1.96","151","1.54","90","587",".104","10","0.10","18","0.18","16","View Bio"
"6","Smith, Gabrielle                                             6Smith, Gabrielle","90","24","24","158.0","1.76","101","1.12","46","264",".208","13","0.14","17","0.19","11",""
"9","Greer, Kiana                                             9Greer, Kiana","101","28","25","361.0","3.57","333","3.30","190","978",".146","29","0.29","13","0.13","23","View Bio"
"11","Makaula, Koen                                             11Makaula, Koen","106","28","28","207.5","1.96","140","1.32","50","378",".238","16","0.15","15","0.14","16","View Bio"
"12","Trefren, Kyriah                                             12Trefren, Kyriah","95","28","1","7.0","0.07","1","0.01","3","31","-.065","46","0.48","6","0.06","11","View Bio"
"13","Gennari, Chiara                                             13Gennari, Chiara","75","25","10","168.5","2.25","151","2.01","76","377",".199","7","0.09","0","0.00","0","View Bio"
"14","White, Cayton                                             14White, Cayton","97","27","25","328.5","3.39","292","3.01","162","905",".144","15","0.15","27","0.28","25","View Bio"
"15","Fontes, Madu                                             15Fontes, Madu","30","16","1","34.0","1.13","28","0.93","23","104",".048","4","0.13","1","0.03","2","View Bio"
"16","Isik, Ada                                              16Isik, Ada","51","18","2","4.0","0.08","0","0.00","1","5","-.200","25","0.49","4","0.08","11","View Bio"
"20","Whitman, Zuzanna                                             20Whitman, Zuzanna","24","12","4","22.0","0.92","15","0.63","6","43",".209","3","0.13","0","0.00","0","View Bio"
"21","Krakoczki, Csenge                                             21Krakoczki, Csenge","79","24","18","42.5","0.54","15","0.19","6","86",".105","516","6.53","17","0.22","15","View Bio"
"23","Manaois, Aleina                                             23Manaois, Aleina","69","21","10","25.0","0.36","11","0.16","8","69",".043","445","6.45","10","0.14","4","View Bio"
"","Total","106","28","","1,559.0","14.71","1238","11.68","663","3831",".150","1140","10.75","134","1.26","143",""
"","Opponents","106","28","","1,813.0","17.10","1383","13.05","568","3879",".210","1264","11.92","177","1.67","224",""
