"","","","Dig","","","Receptions","","Blocks","","","","",""
"#","","SP","DIG","DIG/S","RE","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"2","Bergen Reilly","91","248","2.73","0","0.00","2","57","59","0.65","3","0"
"3","Allie Sczech","29","9","0.31","0","0.00","1","17","18","0.62","1","0"
"4","Campbell Flynn","27","30","1.11","0","0.00","0","2","2","0.07","1","0"
"5","Rebekah Allick","87","26","0.30","3","0.03","17","99","116","1.33","8","0"
"6","Laney Choboy","95","260","2.74","27","0.28","0","0","0","0.00","0","0"
"7","Maisie Boesiger","27","23","0.85","2","0.07","0","0","0","0.00","0","0"
"9","Virginia Adriano","82","48","0.58","0","0.00","1","50","51","0.62","13","0"
"10","Olivia Mauch","94","232","2.47","13","0.14","0","0","0","0.00","0","0"
"11","Teraya Sigler","97","141","1.45","19","0.20","0","7","7","0.07","1","0"
"12","Taylor Landfair","81","39","0.48","2","0.03","1","42","43","0.53","4","0"
"14","Manaia Ogbechie","21","2","0.10","0","0.00","2","25","27","1.29","0","0"
"15","Andi Jackson","92","45","0.49","0","0.00","9","95","104","1.13","5","0"
"21","Skyler Pierce","23","9","0.39","2","0.09","0","3","3","0.13","0","0"
"27","Harper Murray","93","200","2.15","24","0.26","11","45","56","0.60","7","0"
"Totals","","97","1312","13.53","98","1.01","44","442","265","2.73","43","0"
"Opponents","","97","977","10.07","120","1.24","26","237","144.5","1.49","41","0"
