"","","","","","","","Attack","","","","","Set","","Serve","",""
"#","","SP","MP","MS","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"2","Bergen Reilly","91","30","29","109.5","1.20","65","0.71","9","140",".400","938","10.31","14","0.15","17"
"3","Allie Sczech","29","16","3","58.5","2.02","49","1.69","8","106",".387","3","0.10","0","0.00","0"
"4","Campbell Flynn","27","17","1","12.0","0.44","9","0.33","2","15",".467","126","4.67","2","0.07","5"
"5","Rebekah Allick","87","28","28","286.5","3.29","219","2.52","49","394",".431","16","0.18","1","0.01","2"
"6","Laney Choboy","95","30","0","8.0","0.08","0","0.00","0","1",".000","89","0.94","8","0.08","24"
"7","Maisie Boesiger","27","20","1","1.0","0.04","0","0.00","0","0",".000","5","0.18","1","0.04","3"
"9","Virginia Adriano","82","29","27","220.0","2.68","181","2.21","72","380",".287","2","0.02","13","0.16","32"
"10","Olivia Mauch","94","29","0","16.0","0.17","0","0.00","0","0",".000","71","0.76","16","0.17","11"
"11","Teraya Sigler","97","30","29","87.5","0.90","71","0.73","32","181",".215","12","0.12","13","0.13","15"
"12","Taylor Landfair","81","27","1","196.0","2.42","167","2.06","43","387",".320","0","0.00","7","0.09","19"
"14","Manaia Ogbechie","21","13","3","65.5","3.12","51","2.43","4","83",".566","1","0.05","0","0.00","0"
"15","Andi Jackson","92","29","29","325.5","3.54","253","2.75","48","435",".471","4","0.04","16","0.17","32"
"21","Skyler Pierce","23","14","0","33.5","1.46","31","1.35","13","84",".214","0","0.00","1","0.04","0"
"27","Harper Murray","93","29","29","391.5","4.21","330","3.55","91","787",".304","38","0.41","28","0.30","34"
"Totals","","97","30","0","1811.0","18.67","1426","14.70","371","2993",".352","1305","13.45","120","1.24","194"
"Opponents","","97","30","0","1221.5","12.59","979","10.09","584","3163",".125","929","9.58","98","1.01","237"
