"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Mejia, Alejandra                                             1Mejia, Alejandra","40","41","1.03","8","107",".925","0.20","0","0","0","0.00","0","0","View Bio"
"2","Malinoski, Payton                                             2Malinoski, Payton","100","377","3.77","41","482",".915","0.41","0","0","0","0.00","0","1","View Bio"
"4","Adderly, Hannah                                             4Adderly, Hannah","10","6","0.60","2","3",".333","0.20","2","7","9.0","0.90","0","0","View Bio"
"5","Patitucci, Sophia                                             5Patitucci, Sophia","48","87","1.81","18","296",".939","0.38","2","7","9.0","0.19","1","0","View Bio"
"6","Girard, Evelyn Kay                                             6Girard, Evelyn Kay","74","71","0.96","22","257",".914","0.30","0","0","0","0.00","0","0","View Bio"
"8","Avent, Kassadi                                             8Avent, Kassadi","92","120","1.30","34","389",".913","0.37","2","31","33.0","0.36","3","2","View Bio"
"9","Trunkl, Victoria                                             9Trunkl, Victoria","70","62","0.89","25","250",".900","0.36","1","15","16.0","0.23","1","0","View Bio"
"10","Grannell, Naliah                                             10Grannell, Naliah","98","22","0.22","1","6",".833","0.01","26","74","100.0","1.02","3","0","View Bio"
"11","Kamke, Sofia                                             11Kamke, Sofia","4","6","1.50","3","11",".727","0.75","0","0","0","0.00","0","0","View Bio"
"12","De Acharan, Juli                                             12De Acharan, Juli","97","195","2.01","2","6",".667","0.02","1","9","10.0","0.10","0","2","View Bio"
"13","Northcutt, Jordan                                             13Northcutt, Jordan","55","16","0.29","0","1","1.000","0.00","2","26","28.0","0.51","2","0","View Bio"
"14","Kearns, Zaira                                             14Kearns, Zaira","4","6","1.50","0","0",".000","0.00","0","0","0","0.00","0","0","View Bio"
"17","MacKellar, Lauren                                             17MacKellar, Lauren","101","79","0.78","8","48",".833","0.08","4","66","70.0","0.69","1","1","View Bio"
"18","Foster, Josie                                             18Foster, Josie","73","28","0.38","0","10","1.000","0.00","19","63","82.0","1.12","4","0","View Bio"
"21","Lynch, Kira                                             21Lynch, Kira","41","10","0.24","0","1","1.000","0.00","5","30","35.0","0.85","2","0","View Bio"
"22","Johnston, Caroline                                             22Johnston, Caroline","87","124","1.43","0","5","1.000","0.00","0","5","5.0","0.06","1","1","View Bio"
"23","Orange, Liahnna                                             23Orange, Liahnna","36","22","0.61","5","50",".900","0.14","0","0","0","0.00","0","0","View Bio"
"24","Fluckiger, Kole                                             24Fluckiger, Kole","37","29","0.78","13","92",".859","0.35","1","5","6.0","0.16","0","0","View Bio"
"","Total","101","1301","12.88","229","2014",".886","2.27","65","338","234.0","2.32","18","7",""
"","Opponents","101","1372","13.58","123","1933",".936","1.22","59","241","179.5","1.78","18","4",""
