"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Mejia, Alejandra                                             1Mejia, Alejandra","40","12","1","0","0.00","0","0.00","0","0","0","8","0.20","0","0.00","2","View Bio"
"2","Malinoski, Payton                                             2Malinoski, Payton","100","27","0","23.0","0.23","5","0.05","5","52",".000","106","1.06","18","0.18","10","View Bio"
"4","Adderly, Hannah                                             4Adderly, Hannah","10","6","1","17.5","1.75","10","1.00","4","26",".231","1","0.10","2","0.20","4","View Bio"
"5","Patitucci, Sophia                                             5Patitucci, Sophia","48","17","9","40.5","0.84","32","0.67","14","121",".149","27","0.56","3","0.06","9","View Bio"
"6","Girard, Evelyn Kay                                             6Girard, Evelyn Kay","74","24","6","2.0","0.03","2","0.03","2","17",".000","10","0.14","0","0.00","0","View Bio"
"8","Avent, Kassadi                                             8Avent, Kassadi","92","26","17","208.5","2.27","178","1.93","121","594",".096","11","0.12","13","0.14","31","View Bio"
"9","Trunkl, Victoria                                             9Trunkl, Victoria","70","25","13","110.5","1.58","91","1.30","70","337",".062","5","0.07","11","0.16","8","View Bio"
"10","Grannell, Naliah                                             10Grannell, Naliah","98","27","27","240.0","2.45","177","1.81","59","455",".259","1","0.01","0","0.00","1","View Bio"
"11","Kamke, Sofia                                             11Kamke, Sofia","4","3","0","0","0.00","0","0.00","1","5","-.200","0","0.00","0","0.00","2","View Bio"
"12","De Acharan, Juli                                             12De Acharan, Juli","97","27","18","65.5","0.68","27","0.28","6","90",".233","464","4.78","33","0.34","22","View Bio"
"13","Northcutt, Jordan                                             13Northcutt, Jordan","55","21","2","76.0","1.38","61","1.11","34","217",".124","2","0.04","0","0.00","0","View Bio"
"14","Kearns, Zaira                                             14Kearns, Zaira","4","2","0","3.0","0.75","1","0.25","0","7",".143","9","2.25","2","0.50","3","View Bio"
"17","MacKellar, Lauren                                             17MacKellar, Lauren","101","27","25","326.0","3.23","288","2.85","121","771",".217","13","0.13","1","0.01","5","View Bio"
"18","Foster, Josie                                             18Foster, Josie","73","22","19","156.5","2.14","96","1.32","28","217",".313","8","0.11","10","0.14","8","View Bio"
"21","Lynch, Kira                                             21Lynch, Kira","41","15","7","63.0","1.54","40","0.98","16","104",".231","2","0.05","3","0.07","2","View Bio"
"22","Johnston, Caroline                                             22Johnston, Caroline","87","27","8","39.5","0.45","14","0.16","3","64",".172","305","3.51","23","0.26","20","View Bio"
"23","Orange, Liahnna                                             23Orange, Liahnna","36","15","1","1.0","0.03","0","0.00","0","3",".000","1","0.03","1","0.03","5","View Bio"
"24","Fluckiger, Kole                                             24Fluckiger, Kole","37","14","8","50.5","1.36","44","1.19","30","157",".089","0","0.00","3","0.08","10","View Bio"
"","Total","101","27","","1,423.0","14.09","1066","10.55","514","3237",".171","973","9.63","123","1.22","142",""
"","Opponents","101","27","","1,793.5","17.76","1385","13.71","556","3540",".234","1252","12.40","229","2.27","276",""
