"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Swindle, Ella","94","182","1.94","1","6",".833","0.01","2","34","36.0","0.38","2","1"
"2","Halter, Emma","97","346","3.57","19","428",".956","0.20","0","0","0","0.00","0","0"
"3","Binney, Rella","90","95","1.06","0","1","1.000","0.00","0","2","2.0","0.02","1","0"
"4","Stafford, Torrey","97","236","2.43","28","629",".955","0.29","5","33","38.0","0.39","2","0"
"5","Ames, Ayden","87","22","0.25","0","8","1.000","0.00","8","82","90.0","1.03","5","0"
"6","Vander Wal, Abby","96","59","0.61","15","339",".956","0.16","4","27","31.0","0.32","2","1"
"9","Miller, Kenna","7","2","0.29","0","0",".000","0.00","0","0","0","0.00","0","0"
"10","Harvey, Taylor","50","24","0.48","0","7","1.000","0.00","1","42","43.0","0.86","1","0"
"12","Krueger, Callie","1","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0"
"16","Kujundži&#x107;, Anja","67","19","0.28","0","0",".000","0.00","0","0","0","0.00","0","0"
"23","Spears, Cari","97","135","1.39","1","6",".833","0.01","3","43","46.0","0.47","7","0"
"26","Lauenstein, Whitney","11","10","0.91","0","5","1.000","0.00","0","6","6.0","0.55","1","0"
"32","Gary, Ramsey","97","183","1.89","10","270",".963","0.10","0","0","0","0.00","0","0"
"44","Kahahawai, Devin","79","14","0.18","0","1","1.000","0.00","2","29","31.0","0.39","2","1"
"55","Bunton, Nya","60","20","0.33","0","16","1.000","0.00","3","48","51.0","0.85","2","0"
"Total","","97","1347","13.89","96","1716",".944","0.99","28","346","201.0","2.07","25","3"
"","","97","1136","11.71","112","2053",".945","1.15","45","387","238.5","2.46","37","2"
