"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Swindle, Ella","94","25","25","84.0","0.89","47","0.50","13","107",".318","855","9.10","18","0.19","40"
"2","Halter, Emma","97","26","0","24.0","0.25","1","0.01","0","10",".100","150","1.55","23","0.24","26"
"3","Binney, Rella","90","26","1","9.0","0.10","1","0.01","1","5",".000","245","2.72","7","0.08","17"
"4","Stafford, Torrey","97","26","26","504.5","5.20","454","4.68","110","984",".350","29","0.30","29","0.30","34"
"5","Ames, Ayden","87","25","24","190.0","2.18","141","1.62","27","295",".386","5","0.06","0","0.00","0"
"6","Vander Wal, Abby","96","26","1","271.5","2.83","253","2.64","94","664",".239","5","0.05","1","0.01","2"
"9","Miller, Kenna","7","5","0","2.0","0.29","1","0.14","0","1","1.000","0","0.00","1","0.14","3"
"10","Harvey, Taylor","50","19","17","99.0","1.98","73","1.46","22","141",".362","6","0.12","4","0.08","8"
"12","Krueger, Callie","1","1","0","0","0.00","0","0.00","0","0",".000","0","0.00","0","0.00","0"
"16","Kujundži&#x107;, Anja","67","24","0","8.0","0.12","0","0.00","0","0",".000","5","0.07","8","0.12","15"
"23","Spears, Cari","97","26","26","354.5","3.65","322","3.32","116","707",".291","12","0.12","8","0.08","21"
"26","Lauenstein, Whitney","11","5","0","20.0","1.82","17","1.55","4","42",".310","0","0.00","0","0.00","0"
"32","Gary, Ramsey","97","26","25","8.0","0.08","0","0.00","0","0",".000","33","0.34","8","0.08","32"
"44","Kahahawai, Devin","79","25","0","70.5","0.89","54","0.68","18","152",".237","3","0.04","0","0.00","0"
"55","Bunton, Nya","60","19","11","111.0","1.85","79","1.32","22","173",".329","3","0.05","5","0.08","11"
"Total","","97","26","","1,756.0","18.10","1443","14.88","427","3281",".310","1351","13.93","112","1.15","209"
"","","97","26","","1,512.5","15.59","1178","12.14","506","3333",".202","1105","11.39","96","0.99","222"
