"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Earnhardt, Bailee                                             1Earnhardt, Bailee","106","29","0","30.0","0.28","3","0.03","1","14",".143","78","0.74","27","0.25","50","View Bio"
"4","Smith, Anna                                             4Smith, Anna","90","28","0","1.0","0.01","1","0.01","0","5",".200","17","0.19","0","0.00","1","View Bio"
"5","Huggins, Kibi                                             5Huggins, Kibi","101","28","3","133.0","1.32","99","0.98","63","367",".098","2","0.02","0","0.00","0","View Bio"
"7","Stout, Jalyn                                              7Stout, Jalyn","106","29","29","408.0","3.85","345","3.25","107","824",".289","457","4.31","29","0.27","45","View Bio"
"8","Wallis, Ava                                             8Wallis, Ava","103","29","26","20.0","0.19","2","0.02","3","13","-.077","547","5.31","18","0.17","29","View Bio"
"9","Andersson, Elin                                             9Andersson, Elin","9","5","0","4.5","0.50","3","0.33","3","21",".000","0","0.00","0","0.00","0","View Bio"
"10","Rita, Anna                                             10Rita, Anna","103","28","27","270.5","2.63","184","1.79","49","408",".331","6","0.06","0","0.00","0","View Bio"
"11","Van Elslande, Emma                                             11Van Elslande, Emma","106","29","29","256.0","2.42","207","1.95","95","704",".159","4","0.04","28","0.26","33","View Bio"
"12","Olsen, Leah                                             12Olsen, Leah","2","2","1","1.5","0.75","1","0.50","0","4",".250","0","0.00","0","0.00","1","View Bio"
"13","Rivera, Julia                                             13Rivera, Julia","23","11","0","9.5","0.41","5","0.22","12","51","-.137","2","0.09","3","0.13","2","View Bio"
"16","Fowler, Emily                                             16Fowler, Emily","106","29","29","336.0","3.17","246","2.32","73","554",".312","13","0.12","24","0.23","32","View Bio"
"17","Loeswick, Isabella                                             17Loeswick, Isabella","9","9","0","0","0.00","0","0.00","0","0","0","31","3.44","0","0.00","4",""
"19","Rinard, Anzley                                             19Rinard, Anzley","104","29","23","252.5","2.43","203","1.95","120","647",".128","1","0.01","21","0.20","36","View Bio"
"22","Channell, Kayla                                             22Channell, Kayla","6","3","1","8.5","1.42","6","1.00","1","9",".556","0","0.00","0","0.00","0","View Bio"
"23","Micelle, Becca                                             23Micelle, Becca","101","28","6","4.0","0.04","1","0.01","1","8",".000","40","0.40","3","0.03","11","View Bio"
"","Total","106","29","","1,735.0","16.37","1306","12.32","528","3629",".214","1198","11.30","153","1.44","244",""
"","Opponents","106","29","","1,678.0","15.83","1295","12.22","586","3726",".190","1190","11.23","169","1.59","252",""
