"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Earnhardt, Bailee                                             1Earnhardt, Bailee","106","352","3.32","31","672",".954","0.29","0","0","0","0.00","0","0","View Bio"
"4","Smith, Anna                                             4Smith, Anna","90","67","0.74","18","253",".929","0.20","0","0","0","0.00","0","0","View Bio"
"5","Huggins, Kibi                                             5Huggins, Kibi","101","48","0.48","0","0",".000","0.00","4","60","64.0","0.63","4","0","View Bio"
"7","Stout, Jalyn                                              7Stout, Jalyn","106","330","3.11","6","154",".961","0.06","2","64","66.0","0.62","5","0","View Bio"
"8","Wallis, Ava                                             8Wallis, Ava","103","233","2.26","0","3","1.000","0.00","0","0","0","0.00","0","0","View Bio"
"9","Andersson, Elin                                             9Andersson, Elin","9","3","0.33","0","0",".000","0.00","0","3","3.0","0.33","0","0","View Bio"
"10","Rita, Anna                                             10Rita, Anna","103","32","0.31","0","16","1.000","0.00","30","113","143.0","1.39","10","0","View Bio"
"11","Van Elslande, Emma                                             11Van Elslande, Emma","106","111","1.05","32","370",".914","0.30","7","28","35.0","0.33","1","1","View Bio"
"12","Olsen, Leah                                             12Olsen, Leah","2","0","0.00","0","0",".000","0.00","0","1","1.0","0.50","0","0","View Bio"
"13","Rivera, Julia                                             13Rivera, Julia","23","13","0.57","6","54",".889","0.26","0","3","3.0","0.13","0","0","View Bio"
"16","Fowler, Emily                                             16Fowler, Emily","106","65","0.61","1","25",".960","0.01","22","88","110.0","1.04","10","0","View Bio"
"17","Loeswick, Isabella                                             17Loeswick, Isabella","9","8","0.89","1","1",".000","0.11","0","0","0","0.00","0","0",""
"19","Rinard, Anzley                                             19Rinard, Anzley","104","110","1.06","18","173",".896","0.17","5","47","52.0","0.50","1","0","View Bio"
"22","Channell, Kayla                                             22Channell, Kayla","6","1","0.17","0","0",".000","0.00","1","3","4.0","0.67","0","0","View Bio"
"23","Micelle, Becca                                             23Micelle, Becca","101","157","1.55","15","273",".945","0.15","0","0","0","0.00","0","0","View Bio"
"","Total","106","1530","14.43","169","1994",".915","1.59","71","410","276.0","2.60","31","1",""
"","Opponents","106","1537","14.50","153","2051",".925","1.44","45","338","214.0","2.02","8","2",""
