"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Winkler, Madison                                             1Winkler, Madison","95","358","3.77","27","456",".941","0.28","0","0","0","0.00","0","0","View Bio"
"2","Mirabelli, Emma                                             2Mirabelli, Emma","71","87","1.23","6","226",".973","0.08","0","15","15.0","0.21","2","0","View Bio"
"4","Werger, Emersen                                             4Werger, Emersen","57","40","0.70","9","82",".890","0.16","0","0","0","0.00","0","0","View Bio"
"5","Rawlings, Izzy                                             5Rawlings, Izzy","103","141","1.37","1","2",".500","0.01","0","0","0","0.00","1","0","View Bio"
"6","Finucan, Alayna                                             6Finucan, Alayna","70","100","1.43","16","212",".925","0.23","0","0","0","0.00","0","0","View Bio"
"7","Hart, Elise                                             7Hart, Elise","70","31","0.44","0","3","1.000","0.00","1","42","43.0","0.61","4","0","View Bio"
"10","Eren, Ilayda                                             10Eren, Ilayda","107","123","1.15","0","2","1.000","0.00","0","3","3.0","0.03","2","0","View Bio"
"11","Reynolds, Ava                                             11Reynolds, Ava","105","184","1.75","27","711",".962","0.26","4","30","34.0","0.32","4","0","View Bio"
"14","Lewis, Genevieve                                             14Lewis, Genevieve","102","40","0.39","0","3","1.000","0.00","5","32","37.0","0.36","3","2","View Bio"
"16","Molina, Izabela                                              16Molina, Izabela","70","27","0.39","0","5","1.000","0.00","6","49","55.0","0.79","6","0","View Bio"
"18","Johnson, Jamia                                             18Johnson, Jamia","100","32","0.32","0","2","1.000","0.00","1","60","61.0","0.61","3","0","View Bio"
"19","Thibodeau, Alicia                                              19Thibodeau, Alicia","85","85","1.00","24","318",".925","0.28","1","33","34.0","0.40","2","0","View Bio"
"21","Perryman, Kate                                             21Perryman, Kate","91","20","0.22","0","9","1.000","0.00","10","82","92.0","1.01","11","0","View Bio"
"","Total","107","1268","11.85","128","2031",".937","1.20","28","346","201.0","1.88","38","2",""
"","Opponents","107","1214","11.35","179","2085",".914","1.67","46","410","251.0","2.35","36","1",""
