"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Winkler, Madison                                             1Winkler, Madison","95","27","0","10.0","0.11","0","0.00","0","4",".000","88","0.93","10","0.11","18","View Bio"
"2","Mirabelli, Emma                                             2Mirabelli, Emma","71","26","11","100.5","1.42","82","1.15","38","242",".182","11","0.15","11","0.15","26","View Bio"
"4","Werger, Emersen                                             4Werger, Emersen","57","23","1","12.0","0.21","1","0.02","0","1","1.000","5","0.09","11","0.19","5","View Bio"
"5","Rawlings, Izzy                                             5Rawlings, Izzy","103","27","19","55.0","0.53","16","0.16","2","39",".359","536","5.20","39","0.38","42","View Bio"
"6","Finucan, Alayna                                             6Finucan, Alayna","70","24","2","11.0","0.16","0","0.00","0","3",".000","29","0.41","11","0.16","8","View Bio"
"7","Hart, Elise                                             7Hart, Elise","70","23","17","110.0","1.57","71","1.01","17","171",".316","9","0.13","17","0.24","15","View Bio"
"10","Eren, Ilayda                                             10Eren, Ilayda","107","28","9","43.5","0.41","7","0.07","6","26",".038","591","5.52","35","0.33","62","View Bio"
"11","Reynolds, Ava                                             11Reynolds, Ava","105","28","27","352.0","3.35","314","2.99","125","790",".239","16","0.15","19","0.18","57","View Bio"
"14","Lewis, Genevieve                                             14Lewis, Genevieve","102","28","9","294.0","2.88","273","2.68","111","620",".261","4","0.04","0","0.00","1","View Bio"
"16","Molina, Izabela                                              16Molina, Izabela","70","21","15","143.5","2.05","106","1.51","32","227",".326","8","0.11","7","0.10","10","View Bio"
"18","Johnson, Jamia                                             18Johnson, Jamia","100","28","18","256.0","2.56","225","2.25","95","563",".231","3","0.03","0","0.00","0","View Bio"
"19","Thibodeau, Alicia                                              19Thibodeau, Alicia","85","25","17","205.5","2.42","169","1.99","76","455",".204","6","0.07","19","0.22","13","View Bio"
"21","Perryman, Kate                                             21Perryman, Kate","91","25","23","169.0","1.86","118","1.30","42","258",".295","4","0.04","0","0.00","2","View Bio"
"","Total","107","28","","1,762.0","16.47","1382","12.92","544","3399",".247","1310","12.24","179","1.67","259",""
"","Opponents","107","28","","1,668.0","15.59","1289","12.05","584","3392",".208","1188","11.10","128","1.20","212",""
