"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Campbell, Gracie                                             1Campbell, Gracie","102","272","2.67","65","952",".932","0.64","3","20","23.0","0.23","6","1","View Bio"
"2","Mullaney, Haley                                             2Mullaney, Haley","101","215","2.13","0","3","1.000","0.00","0","10","10.0","0.10","2","2","View Bio"
"3","Wacaster, Jordyn                                             3Wacaster, Jordyn","34","32","0.94","14","132",".894","0.41","0","0","0","0.00","0","0","View Bio"
"4","Cox, Semaj                                             4Cox, Semaj","74","62","0.84","10","126",".921","0.14","0","0","0","0.00","0","0","View Bio"
"5","Klaumann, MJ                                             5Klaumann, MJ","88","25","0.28","0","1","1.000","0.00","1","46","47.0","0.53","7","0","View Bio"
"6","Washington, Jade                                             6Washington, Jade","101","567","5.61","17","398",".957","0.17","0","0","0","0.00","0","0","View Bio"
"7","Green, Courtney                                             7Green, Courtney","32","8","0.25","0","5","1.000","0.00","1","6","7.0","0.22","0","0","View Bio"
"8","Pritchard, Katelyn                                             8Pritchard, Katelyn","54","59","1.09","0","0",".000","0.00","0","0","0","0.00","0","0","View Bio"
"9","Roper, Peyton                                             9Roper, Peyton","96","27","0.28","0","0",".000","0.00","2","41","43.0","0.45","5","1","View Bio"
"10","Bray, Kylie                                             10Bray, Kylie","3","2","0.67","2","8",".750","0.67","0","0","0","0.00","0","0","View Bio"
"11","Box, Brooke                                             11Box, Brooke","84","37","0.44","0","11","1.000","0.00","11","43","54.0","0.64","5","0","View Bio"
"12","Brown, Giana                                             12Brown, Giana","42","7","0.17","0","1","1.000","0.00","8","28","36.0","0.86","5","0","View Bio"
"13","Jennings, Savannah                                             13Jennings, Savannah","39","56","1.44","0","1","1.000","0.00","0","0","0","0.00","0","2","View Bio"
"14","Fetty, Rendi                                             14Fetty, Rendi","86","225","2.62","28","422",".934","0.33","0","1","1.0","0.01","1","0","View Bio"
"15","Ruskofsky, Zoe                                             15Ruskofsky, Zoe","70","42","0.60","4","18",".778","0.06","0","9","9.0","0.13","5","0","View Bio"
"17","Smith, Nevaeh                                             17Smith, Nevaeh","84","16","0.19","0","15","1.000","0.00","12","63","75.0","0.89","10","1","View Bio"
"18","Graham, Karianne                                             18Graham, Karianne","3","1","0.33","0","0",".000","0.00","0","1","1.0","0.33","0","0","View Bio"
"","Total","102","1653","16.21","178","2093",".915","1.75","38","268","172.0","1.69","46","7",""
"","Opponents","102","1823","17.87","114","1845",".938","1.12","45","299","194.5","1.91","52","2",""
