"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Campbell, Gracie                                             1Campbell, Gracie","102","28","28","431.0","4.23","393","3.85","128","1249",".212","23","0.23","25","0.25","29","View Bio"
"2","Mullaney, Haley                                             2Mullaney, Haley","101","28","28","71.0","0.70","46","0.46","13","121",".273","615","6.09","20","0.20","25","View Bio"
"3","Wacaster, Jordyn                                             3Wacaster, Jordyn","34","19","5","4.0","0.12","1","0.03","0","1","1.000","4","0.12","3","0.09","7","View Bio"
"4","Cox, Semaj                                             4Cox, Semaj","74","26","3","8.0","0.11","1","0.01","0","4",".250","15","0.20","7","0.09","10","View Bio"
"5","Klaumann, MJ                                             5Klaumann, MJ","88","27","14","155.0","1.76","131","1.49","48","422",".197","2","0.02","0","0.00","1","View Bio"
"6","Washington, Jade                                             6Washington, Jade","101","28","0","17.0","0.17","3","0.03","0","11",".273","102","1.01","14","0.14","25","View Bio"
"7","Green, Courtney                                             7Green, Courtney","32","20","0","44.0","1.38","40","1.25","27","164",".079","0","0.00","0","0.00","3","View Bio"
"8","Pritchard, Katelyn                                             8Pritchard, Katelyn","54","24","0","17.0","0.31","6","0.11","3","17",".176","201","3.72","11","0.20","28","View Bio"
"9","Roper, Peyton                                             9Roper, Peyton","96","28","11","151.5","1.58","129","1.34","71","367",".158","0","0.00","0","0.00","0","View Bio"
"10","Bray, Kylie                                             10Bray, Kylie","3","2","0","0","0.00","0","0.00","0","0","0","0","0.00","0","0.00","0","View Bio"
"11","Box, Brooke                                             11Box, Brooke","84","28","28","102.5","1.22","66","0.79","34","219",".146","4","0.05","4","0.05","26","View Bio"
"12","Brown, Giana                                             12Brown, Giana","42","23","2","61.0","1.45","39","0.93","20","107",".178","1","0.02","0","0.00","0","View Bio"
"13","Jennings, Savannah                                             13Jennings, Savannah","39","19","0","4.0","0.10","2","0.05","2","13",".000","102","2.62","2","0.05","4","View Bio"
"14","Fetty, Rendi                                             14Fetty, Rendi","86","26","21","60.5","0.70","33","0.38","29","184",".022","19","0.22","27","0.31","40","View Bio"
"15","Ruskofsky, Zoe                                             15Ruskofsky, Zoe","70","28","2","143.5","2.05","139","1.99","60","482",".164","1","0.01","0","0.00","2","View Bio"
"17","Smith, Nevaeh                                             17Smith, Nevaeh","84","27","26","190.5","2.27","146","1.74","56","374",".241","1","0.01","1","0.01","8","View Bio"
"18","Graham, Karianne                                             18Graham, Karianne","3","2","0","0.5","0.17","0","0.00","0","6",".000","0","0.00","0","0.00","0","View Bio"
"","Total","102","28","","1,461.0","14.32","1175","11.52","491","3741",".183","1090","10.69","114","1.12","208",""
"","Opponents","102","28","","1,820.5","17.85","1448","14.20","534","3916",".233","1341","13.15","178","1.75","207",""
