"#","","","DIG","","RECEPT","","","","BLOCK","","","","","","Bio Link"
"","Player","SP","DIG","DIG/S","","RE","TA","Rec%","RE/S","BS","BA","BLK","BLK/S","BE","BHE"
"1","Moore, Kacie                                             1Moore, Kacie","69","9","0.13","0","4","1.000","0.00","5","46","51.0","0.74","7","0","View Bio"
"2","Seekford, Kennedy                                             2Seekford, Kennedy","112","460","4.11","38","472",".919","0.34","0","0","0","0.00","0","1","View Bio"
"3","Dionis, Hayley                                             3Dionis, Hayley","21","50","2.38","10","91",".890","0.48","0","0","0","0.00","0","0","View Bio"
"4","McGrath, Grainne                                             4McGrath, Grainne","56","17","0.30","0","4","1.000","0.00","3","34","37.0","0.66","1","0","View Bio"
"5","Castelloe, Izzy                                             5Castelloe, Izzy","112","58","0.52","0","4","1.000","0.00","3","71","74.0","0.66","9","0","View Bio"
"6","Scheffler, Brooke                                             6Scheffler, Brooke","31","76","2.45","6","131",".954","0.19","1","5","6.0","0.19","1","0","View Bio"
"7","Navarro, Emily                                             7Navarro, Emily","103","225","2.18","0","8","1.000","0.00","1","7","8.0","0.08","1","4","View Bio"
"9","Woods, Campbell                                             9Woods, Campbell","20","9","0.45","0","1","1.000","0.00","0","11","11.0","0.55","0","0","View Bio"
"10","Wheeler, Eva                                             10Wheeler, Eva","69","106","1.54","0","0",".000","0.00","1","1","2.0","0.03","0","0","View Bio"
"11","Morrissey, Quinn                                             11Morrissey, Quinn","60","87","1.45","0","2","1.000","0.00","2","2","4.0","0.07","0","0","View Bio"
"12","Stein, Ashley                                             12Stein, Ashley","108","253","2.34","30","632",".953","0.28","8","48","56.0","0.52","3","0","View Bio"
"13","Dodson, Ashtan                                              13Dodson, Ashtan","98","225","2.30","28","391",".928","0.29","0","10","10.0","0.10","2","0","View Bio"
"15","Watson, Amber                                             15Watson, Amber","38","44","1.16","7","160",".956","0.18","2","14","16.0","0.42","0","0","View Bio"
"16","Haynes, Lauren                                             16Haynes, Lauren","35","96","2.74","8","215",".963","0.23","1","9","10.0","0.29","2","1","View Bio"
"19","Deisher, Katherine                                             19Deisher, Katherine","3","2","0.67","1","5",".800","0.33","0","0","0","0.00","0","0","View Bio"
"20","Gorman, Tennyson                                             20Gorman, Tennyson","115","53","0.46","0","13","1.000","0.00","19","139","158.0","1.37","7","1","View Bio"
"23","Walch, Lindsay                                             23Walch, Lindsay","97","50","0.52","1","8",".875","0.01","3","49","52.0","0.54","1","0","View Bio"
"","Total","115","1820","15.83","162","2141",".924","1.41","49","446","272.0","2.37","34","7",""
"","Opponents","115","1797","15.63","183","2342",".922","1.59","44","356","222.0","1.93","43","6",""
