"#","","","","","","","ATTACK","","","","","SET","","SERVE","","","Bio Link"
"","Player","SP","MP","MS","","PTS","PTS/S","K","K/S","E","TA","PCT","A","A/S","SA","SA/S","SE"
"1","Moore, Kacie                                             1Moore, Kacie","69","21","19","124.0","1.80","96","1.39","38","194",".299","3","0.04","0","0.00","0","View Bio"
"2","Seekford, Kennedy                                             2Seekford, Kennedy","112","29","0","39.0","0.35","2","0.02","0","22",".091","109","0.97","37","0.33","11","View Bio"
"3","Dionis, Hayley                                             3Dionis, Hayley","21","9","0","2.0","0.10","0","0.00","0","4",".000","12","0.57","2","0.10","1","View Bio"
"4","McGrath, Grainne                                             4McGrath, Grainne","56","19","10","92.0","1.64","71","1.27","23","172",".279","1","0.02","1","0.02","1","View Bio"
"5","Castelloe, Izzy                                             5Castelloe, Izzy","112","30","19","265.5","2.37","222","1.98","82","638",".219","2","0.02","5","0.04","14","View Bio"
"6","Scheffler, Brooke                                             6Scheffler, Brooke","31","14","2","45.5","1.47","35","1.13","18","139",".122","1","0.03","7","0.23","1","View Bio"
"7","Navarro, Emily                                             7Navarro, Emily","103","27","25","29.5","0.29","8","0.08","1","32",".219","583","5.66","17","0.17","22","View Bio"
"9","Woods, Campbell                                             9Woods, Campbell","20","8","0","31.5","1.58","26","1.30","15","85",".129","1","0.05","0","0.00","0","View Bio"
"10","Wheeler, Eva                                             10Wheeler, Eva","69","20","3","18.5","0.27","13","0.19","0","23",".565","285","4.13","4","0.06","7","View Bio"
"11","Morrissey, Quinn                                             11Morrissey, Quinn","60","18","2","23.0","0.38","4","0.07","1","35",".086","304","5.07","16","0.27","15","View Bio"
"12","Stein, Ashley                                             12Stein, Ashley","108","30","29","321.0","2.97","267","2.47","92","835",".210","14","0.13","22","0.20","25","View Bio"
"13","Dodson, Ashtan                                              13Dodson, Ashtan","98","27","11","118.0","1.20","88","0.90","41","321",".146","12","0.12","25","0.26","32","View Bio"
"15","Watson, Amber                                             15Watson, Amber","38","14","9","72.0","1.89","63","1.66","31","203",".158","1","0.03","0","0.00","6","View Bio"
"16","Haynes, Lauren                                             16Haynes, Lauren","35","11","9","104.5","2.99","89","2.54","36","265",".200","12","0.34","10","0.29","8","View Bio"
"19","Deisher, Katherine                                             19Deisher, Katherine","3","3","0","0","0.00","0","0.00","0","1",".000","0","0.00","0","0.00","0","View Bio"
"20","Gorman, Tennyson                                             20Gorman, Tennyson","115","30","30","389.5","3.39","278","2.42","75","558",".364","15","0.13","23","0.20","39","View Bio"
"23","Walch, Lindsay                                             23Walch, Lindsay","97","27","12","259.5","2.68","218","2.25","80","588",".235","8","0.08","14","0.14","18","View Bio"
"","Total","115","30","","1,935.0","16.83","1480","12.87","533","4115",".230","1363","11.85","183","1.59","200",""
"","Opponents","115","30","","1,800.0","15.65","1416","12.31","660","4252",".178","1317","11.45","162","1.41","202",""
