,,,,,,,ATTACK,,SET,,,SERVE,,DIG,,BLOCK,,,,,,PTS
#,Player,SP,K,K/S,E,TA,PCT,A,A/S,SA,SE,SA/S,RE,DIG,DIG/S,BS,BA,BLK,BLK/S,BE,BHE,PTS
1,"Aguilar Toranza, Maria Bernardita",91,228,2.51,87,636,.222,14,0.15,14,21,0.15,0,166,1.82,4,44,48,0.53,8,0,268.0
2,"Doherty, Brooke",20,12,0.60,5,30,.233,0,0.00,0,1,0.00,0,3,0.15,0,1,1,0.05,2,0,12.5
3,"Mangelson, Lindsey",89,387,4.35,119,1032,.260,13,0.15,27,32,0.30,18,220,2.47,6,39,45,0.51,2,0,439.5
4,"Yates, McKenna",90,2,0.02,0,4,.500,69,0.77,11,19,0.12,21,372,4.13,0,0,0,0.00,0,0,13.0
5,"Kline, Erin",6,2,0.33,1,3,.333,36,6.00,0,2,0.00,0,7,1.17,0,1,1,0.17,0,0,2.5
6,"Power, Avery",80,1,0.01,0,2,.500,2,0.03,5,10,0.06,2,51,0.64,0,0,0,0.00,0,0,6.0
7,"Williams, Laura",4,3,0.75,1,4,.500,0,0.00,0,0,0.00,0,1,0.25,0,2,2,0.50,0,0,4.0
8,"Neal, Mary",93,1,0.01,0,3,.333,31,0.33,11,10,0.12,26,178,1.91,0,0,0,0.00,0,0,12.0
9,"Perrin, Bre",7,0,0.00,0,0,.000,0,0.00,1,1,0.14,0,0,0.00,0,0,0,0.00,0,0,1.0
10,"Corral-Blagojevich, Mele",94,227,2.41,93,635,.211,7,0.07,7,6,0.07,10,103,1.10,2,26,28,0.30,6,0,249.0
20,"Obi, Noella",61,93,1.52,39,228,.237,4,0.07,1,2,0.02,0,16,0.26,11,62,73,1.20,8,0,136.0
21,"Anderson, Ava",52,42,0.81,20,111,.198,2,0.04,3,16,0.06,0,28,0.54,7,28,35,0.67,0,0,66.0
22,"Whitfield-Moss, Gha'Naye",93,195,2.10,72,435,.283,10,0.11,5,27,0.05,2,33,0.35,23,81,104,1.12,16,0,263.5
24,"Hanson, Cayley",91,40,0.44,19,162,.130,953,10.47,33,37,0.36,0,175,1.92,2,57,59,0.65,7,0,103.5
26,"Campagna, Hailey",3,7,2.33,3,19,.211,0,0.00,0,0,0.00,0,1,0.33,0,1,1,0.33,0,0,7.5
