"","","","DIG","","RECEPT","","","","BLOCK","","","","",""
"#","Player","sp","dig","dig/s","re","TA","REC%","re/s","BS","ba","BLK","BLK/s","BE","BHE"
"1","Reines, Brynn","132","280","2.12","48","750",".936","0.36","11","42","53.0","0.40","3","0"
"2","Van Lannen, Bella","122","70","0.57","0","9","1.000","0.00","1","71","72.0","0.59","6","0"
"3","Alvarez Jorge, Nerea","107","255","2.38","0","7","1.000","0.00","5","38","43.0","0.40","2","3"
"4","McCarter, GA","129","265","2.05","24","406",".941","0.19","0","0","0","0.00","0","0"
"5","Bennett, Isabel","131","30","0.23","0","7","1.000","0.00","23","110","133.0","1.02","3","0"
"6","Angert, Julia","12","2","0.17","0","0",".000","0.00","0","0","0","0.00","0","0"
"7","Gibbs, Zoe","128","25","0.20","1","8",".875","0.01","22","90","112.0","0.88","4","0"
"8","Ballard, Leila","108","151","1.40","18","283",".936","0.17","0","2","2.0","0.02","0","0"
"9","Campbell, Cy Rae","3","2","0.67","0","0",".000","0.00","0","0","0","0.00","0","0"
"10","Schoenbeck, Shelby","2","0","0.00","0","0",".000","0.00","0","0","0","0.00","0","0"
"11","Tessena, Alayna","130","113","0.87","24","306",".922","0.18","12","36","48.0","0.37","4","0"
"12","Schelhaas, Finley","47","61","1.30","6","139",".957","0.13","0","0","0","0.00","0","0"
"14","Rink, Maddie","45","14","0.31","0","0",".000","0.00","2","20","22.0","0.49","0","0"
"15","Ogren, Jasmine","8","1","0.13","0","0",".000","0.00","0","0","0","0.00","0","0"
"16","LePore, Bella","132","475","3.60","41","663",".938","0.31","0","0","0","0.00","0","0"
"17","Waller, Addie","1","1","1.00","0","0",".000","0.00","0","0","0","0.00","0","0"
"18","Liddiard, Mia","116","114","0.98","0","3","1.000","0.00","0","8","8.0","0.07","0","0"
"Total","","132","1859","14.08","195","2581",".924","1.48","76","417","284.5","2.16","22","3"
"","","132","1689","12.80","170","2552",".933","1.29","99","401","299.5","2.27","31","1"
