"","","","","","","","ATTACK","","","","","SET","","SERVE","",""
"#","Player","sp","mp","ms","pts","pts/s","k","k/s","E","ta","PCT","a","a/s","sa","sa/S","se"
"1","Reines, Brynn","132","32","32","429.0","3.25","365","2.77","186","1088",".165","22","0.17","32","0.24","53"
"2","Van Lannen, Bella","122","31","25","242.5","1.99","206","1.69","111","581",".164","7","0.06","0","0.00","4"
"3","Alvarez Jorge, Nerea","107","27","19","113.0","1.06","65","0.61","19","151",".305","887","8.29","24","0.22","42"
"4","McCarter, GA","129","32","2","31.0","0.24","2","0.02","0","10",".200","39","0.30","29","0.22","42"
"5","Bennett, Isabel","131","32","32","358.0","2.73","273","2.08","86","635",".294","5","0.04","7","0.05","13"
"6","Angert, Julia","12","6","0","0","0.00","0","0.00","0","0",".000","0","0.00","0","0.00","2"
"7","Gibbs, Zoe","128","32","32","344.0","2.69","277","2.16","61","584",".370","8","0.06","0","0.00","0"
"8","Ballard, Leila","108","29","5","32.0","0.30","11","0.10","10","54",".019","10","0.09","20","0.19","30"
"9","Campbell, Cy Rae","3","3","0","1.0","0.33","1","0.33","1","4",".000","0","0.00","0","0.00","0"
"10","Schoenbeck, Shelby","2","2","0","0","0.00","0","0.00","1","2","-.500","0","0.00","0","0.00","0"
"11","Tessena, Alayna","130","32","25","447.0","3.44","408","3.14","211","1134",".174","7","0.05","9","0.07","22"
"12","Schelhaas, Finley","47","17","2","5.0","0.11","0","0.00","1","2","-.500","5","0.11","5","0.11","14"
"14","Rink, Maddie","45","17","5","52.0","1.16","40","0.89","30","127",".079","0","0.00","0","0.00","1"
"15","Ogren, Jasmine","8","6","0","0","0.00","0","0.00","0","0",".000","0","0.00","0","0.00","1"
"16","LePore, Bella","132","32","0","33.0","0.25","2","0.02","2","19",".000","100","0.76","31","0.23","29"
"17","Waller, Addie","1","1","0","0","0.00","0","0.00","0","0",".000","3","3.00","0","0.00","0"
"18","Liddiard, Mia","116","31","13","49.0","0.42","33","0.28","9","87",".276","426","3.67","12","0.10","32"
"Total","","132","32","","2,136.5","16.19","1683","12.75","728","4478",".213","1519","11.51","169","1.28","285"
"","","132","32","","2,085.5","15.80","1592","12.06","700","4523",".197","1451","10.99","194","1.47","263"
