,,,,,,,ATTACK,,SET,,,SERVE,,DIG,,BLOCK,,,,,,PTS
#,Player,SP,K,K/S,E,TA,PCT,A,A/S,SA,SE,SA/S,RE,DIG,DIG/S,BS,BA,BLK,BLK/S,BE,BHE,PTS
1,"Marrs, Alana",98,220,2.24,54,460,.361,15,0.15,4,10,0.04,0,27,0.28,104.,28,76,0,7,1,290.0
2,"Paz, Alondra",64,2,0.03,0,6,.333,26,0.41,15,24,0.23,26,126,1.97,0,0,0,0.00,0,0,17.0
4,"Hester, Annika",98,201,2.05,82,556,.214,13,0.13,4,5,0.04,0,96,0.98,12,69,81.0,0.83,5,0,251.5
5,"Goldstein, Kamana'o",58,3,0.05,1,5,.400,7,0.12,14,21,0.24,15,67,1.16,0,0,0,0.00,0,0,17.0
6,"Gould, Bridget",38,46,1.21,26,136,.147,0,0.00,0,1,0.00,3,11,0.29,2,5,7.0,0.18,0,0,50.5
7,"Shum, Tia",101,0,0.00,0,4,.000,36,0.36,27,17,0.27,14,234,2.32,0,0,0,0.00,0,0,27.0
9,"Lilo, Emma",78,6,0.08,4,16,.125,394,5.05,16,26,0.21,0,134,1.72,0,1,1.0,0.01,1,0,22.5
10,"Shields, Regan",15,3,0.20,4,16,-.063,1,0.07,2,1,0.13,2,2,0.13,0,0,0,0.00,0,0,5.0
11,"Narlioglu, Yasemin",92,1,0.01,0,3,.333,71,0.77,4,13,0.04,31,186,2.02,0,0,0,0.00,0,0,5.0
14,"Matias, Jackie",101,19,0.19,9,68,.147,641,6.35,27,23,0.27,0,222,2.20,0,11,11.0,0.11,1,0,51.5
15,"Green, Cheyenne",49,40,0.82,17,108,.213,1,0.02,10,20,0.20,0,21,0.43,9,17,26.0,0.53,3,0,67.5
16,"Rumel, Lauren",101,382,3.78,97,1002,.284,11,0.11,21,12,0.21,30,170,1.68,10,20,30.0,0.30,0,2,423.0
20,"Scholz, Nathalie",79,77,0.97,22,173,.318,10,0.13,10,23,0.13,1,30,0.38,16,71,87.0,1.10,6,1,138.5
22,"Cormier, Maeli",101,266,2.63,121,688,.211,7,0.07,0,1,0.00,7,50,0.50,2,32,34.0,0.34,2,0,284.0
24,"Gabriel, Keila",67,69,1.03,52,206,.083,4,0.06,0,1,0.00,0,16,0.24,2,28,30.0,0.45,0,0,0
